onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	darkroom.n.01; tray.n.01; water.n.01; photo.n.01	place.v.01; develop.v.15	Jonathan Byers	5	4
4.5	1.5	3	darkroom.n.01; tray.n.01; water.n.01; photo.n.01	place.v.01; develop.v.15	Jonathan Byers	5	4
6.0	1.5	4	darkroom.n.01; tray.n.01; water.n.01; photo.n.01	place.v.01; develop.v.15	Jonathan Byers	5	4
7.5	1.5	5	darkroom.n.01; tray.n.01; water.n.01; photo.n.01	look.v.01; develop.v.15	Jonathan Byers	5	4
9.0	1.5	6	darkroom.n.01; tray.n.01; water.n.01; photo.n.01	look.v.01; develop.v.15	Jonathan Byers	5	4
10.5	1.5	7	darkroom.n.01; tray.n.01; water.n.01; photo.n.01; image.n.03	look.v.01; develop.v.15	Jonathan Byers	5	4
12.0	1.5	8	darkroom.n.01; tray.n.01; water.n.01; photo.n.01; image.n.03	look.v.01; develop.v.15	Jonathan Byers	5	4
13.5	1.5	9	darkroom.n.01; tray.n.01; water.n.01; photo.n.01; image.n.03	look.v.01; develop.v.15; remove.v.01	Jonathan Byers	5	4
15.0	1.5	10	darkroom.n.01; tray.n.01; water.n.01; photo.n.01; image.n.03	look.v.01; develop.v.15; remove.v.01	Jonathan Byers	5	4
16.5	1.5	11	darkroom.n.01; tray.n.01; water.n.01; photo.n.01; image.n.03	look.v.01; develop.v.15; remove.v.01	Jonathan Byers	5	4
18.0	1.5	12	darkroom.n.01; photo.n.01; image.n.03; girl.n.01		Jonathan Byers	4	5
19.5	1.5	13	darkroom.n.01; photo.n.01; image.n.03; girl.n.01		Jonathan Byers	4	5
21.0	1.5	14	darkroom.n.01; photo.n.01; image.n.03; girl.n.01		Jonathan Byers	4	5
22.5	1.5	15	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	pin.v.02	Jonathan Byers	4	5
24.0	1.5	16	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	pin.v.02	Jonathan Byers	4	5
25.5	1.5	17	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	walk.v.01	Jonathan Byers; Student	4	5
27.0	1.5	18	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	walk.v.01	Jonathan Byers; Student	4	5
28.5	1.5	19	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	walk.v.01; greet.v.01	Jonathan Byers; Student	4	5
30.0	1.5	20	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02	Jonathan Byers; Student	4	5
31.5	1.5	21	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02; notice.v.02; stammer.v.01	Jonathan Byers; Student	4	5
33.0	1.5	22	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02; remove.v.01	Jonathan Byers; Student	4	5
34.5	1.5	23	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02; remove.v.01	Jonathan Byers; Student	4	5
36.0	1.5	24	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02; remove.v.01; look.v.01	Jonathan Byers; Student	4	5
37.5	1.5	25	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02; remove.v.01; look.v.01	Jonathan Byers; Student	4	5
39.0	1.5	26	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	startle.v.02; remove.v.01; look.v.01; leave.v.01	Jonathan Byers; Student	4	5
40.5	1.5	27	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	look.v.01; leave.v.01	Student	4	5
42.0	1.5	28	darkroom.n.01; photo.n.01; image.n.03; girl.n.01	look.v.01; leave.v.01	Student	4	5
43.5	1.5	29	darkroom.n.01; lightbulb.n.01			5	4
45.0	1.5	30	darkroom.n.01; lightbulb.n.01			5	4
46.5	1.5	31	darkroom.n.01; lightbulb.n.01			5	4
