onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	daytime.n.01; outdoors.n.01; tree.n.01; automobile.n.01; house.n.01	driving.v.01		5	1
4.5	1.5	3	daytime.n.01; outdoors.n.01; tree.n.01; automobile.n.01; fence.n.01	driving.v.01		5	1
6.0	1.5	4	daytime.n.01; outdoors.n.01; tree.n.01; automobile.n.01; fence.n.01	driving.v.01		5	1
7.5	1.5	5	daytime.n.01; outdoors.n.01; tree.n.01; automobile.n.01; fence.n.01; bike.n.02; hill.n.01	driving.v.01; biking.v.01	Mike Wheeler	5	1
9.0	1.5	6	daytime.n.01; outdoors.n.01; tree.n.01; automobile.n.01; fence.n.01; bike.n.02; hill.n.01	driving.v.01; biking.v.01	Mike Wheeler	5	1
10.5	1.5	7	daytime.n.01; outdoors.n.01; tree.n.01; fence.n.01; bike.n.02; hill.n.01	biking.v.01	Mike Wheeler	5	1
12.0	1.5	8	daytime.n.01; outdoors.n.01; tree.n.01; fence.n.01; bike.n.02; hill.n.01	biking.v.01	Mike Wheeler	5	1
13.5	1.5	9	daytime.n.01; outdoors.n.01; tree.n.01; fence.n.01; bike.n.02; hill.n.01	biking.v.01	Mike Wheeler	5	1
15.0	1.5	10	daytime.n.01; outdoors.n.01; tree.n.01; fence.n.01; bike.n.02; hill.n.01; house.n.01	biking.v.01	Mike Wheeler	5	1
16.5	1.5	11	daytime.n.01; outdoors.n.01; tree.n.01; fence.n.01; bike.n.02; house.n.01	biking.v.01	Mike Wheeler	5	1
18.0	1.5	12	daytime.n.01; indoors.n.01; light.n.02; living room.n.01 	looking around.v.01	Mike Wheeler, Eleven 	5	1
19.5	1.5	13	daytime.n.01; indoors.n.01; light.n.02; living room.n.01 	looking around.v.01	Mike Wheeler, Eleven 	5	1
21.0	1.5	14	daytime.n.01; indoors.n.01; light.n.02; living room.n.01; picture.n.01; television.n.01	looking around.v.01	Mike Wheeler, Eleven 	5	1
22.5	1.5	15	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01	Mike Wheeler, Eleven 	5	1
24.0	1.5	16	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01	Mike Wheeler, Eleven 	5	1
25.5	1.5	17	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01	Mike Wheeler, Eleven 	5	1
27.0	1.5	18	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01; analyze.v.01	Mike Wheeler, Eleven 	5	1
28.5	1.5	19	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01; analyze.v.01	Mike Wheeler, Eleven 	5	1
30.0	1.5	20	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01; analyze.v.01	Mike Wheeler, Eleven 	5	1
31.5	1.5	21	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01; analyze.v.01	Mike Wheeler, Eleven 	5	1
33.0	1.5	22	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
34.5	1.5	23	daytime.n.01; indoors.n.01; living room.n.01; television.n.01; plant.n.02; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
36.0	1.5	24	daytime.n.01; indoors.n.01; living room.n.01; plant.n.02; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
37.5	1.5	25	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
39.0	1.5	26	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
40.5	1.5	27	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
42.0	1.5	28	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
43.5	1.5	29	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
45.0	1.5	30	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01; plant.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	7	1
46.5	1.5	31	daytime.n.01; indoors.n.01; living room.n.01; picture.n.01; plant.n.01	looking around.v.01; analyze.v.01; stare.v.01	Mike Wheeler, Eleven 	5	1
