onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	house.n.01; porch.n.01; chair.n.01; trees.n.01; window.n.01; door.n.01; pillar.n.02; grass.n.01; dirt.n.01; table.n.02; plant.n.01; bush.n.01		no characters	1	1
4.5	1.5	3	house.n.01; porch.n.01; chair.n.01; trees.n.01; window.n.01; door.n.01; pillar.n.02; grass.n.01; dirt.n.01; table.n.02; plant.n.01; bush.n.01; box.n.01; shelves.n.01; telephone.n.01; telephone cord.n.01; television.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
6.0	1.5	4	house.n.01; chair.n.01; box.n.01; shelves.n.01; telephone.n.01; telephone cord.n.01; television.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
7.5	1.5	5	house.n.01; chair.n.01; box.n.01; shelves.n.01; telephone.n.01; telephone cord.n.01; television.n.01; watch.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
9.0	1.5	6	house.n.01; chair.n.01; shelves.n.01; telephone.n.01; lamp.n.02; rug.n.01; watch.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
10.5	1.5	7	house.n.01; chair.n.01; shelves.n.01; telephone.n.01; lamp.n.02; rug.n.01; watch.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
12.0	1.5	8	house.n.01; chair.n.01; shelves.n.01; telephone.n.01; lamp.n.02; rug.n.01; watch.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
13.5	1.5	9	house.n.01; chair.n.01; shelves.n.01; telephone.n.01; lamp.n.02; rug.n.01; watch.n.01	sit.v.01; hold.v.02; sleep.v.01	Joyce Byers	1	1
15.0	1.5	10	house.n.01; chair.n.01; shelves.n.01; telephone.n.01; lamp.n.02; rug.n.01; watch.n.01	ring.v.04; sit.v.01; jolt.v.01	Joyce Byers	1	7
16.5	1.5	11	house.n.01; chair.n.01; shelves.n.01; telephone.n.01; lamp.n.02; rug.n.01; watch.n.01; box.n.01; shelves.n.01; telephone cord.n.01; television.n.01	ring.v.04; sit.v.01; jolt.v.01; answer.v.01; speak.v.01	Joyce Byers	1	5
18.0	1.5	12	house.n.01; chair.n.01; box.n.01; shelves.n.01; telephone.n.01; telephone cord.n.01; television.n.01	sit.v.01; hold.v.02; speak.v.01	Joyce Byers	1	1
