onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	telephone.n.01; bed.n.01; teddy.n.01	communicating.v.01; lie.v.02	Nancy Wheeler	5	1
4.5	1.5	3	telephone.n.01; bed.n.01; teddy.n.01	communicating.v.01; lie.v.02	Nancy Wheeler	5	1
6.0	1.5	4	telephone.n.01; bed.n.01; teddy.n.01	communicating.v.01; lie.v.02	Nancy Wheeler	5	1
7.5	1.5	5	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02	Nancy Wheeler	5	1
9.0	1.5	6	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02	Nancy Wheeler	5	1
10.5	1.5	7	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02	Nancy Wheeler	5	1
12.0	1.5	8	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02	Nancy Wheeler	5	1
13.5	1.5	9	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02	Nancy Wheeler	5	1
15.0	1.5	10	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02; call out.v.02	Nancy Wheeler	5	1
16.5	1.5	11	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02; call out.v.02	Nancy Wheeler	5	1
18.0	1.5	12	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02; call out.v.02	Nancy Wheeler	5	1
19.5	1.5	13	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02; call out.v.02	Nancy Wheeler	5	1
21.0	1.5	14	telephone.n.01; daytime.n.01; lamp.n.02	communicating.v.01; sit up.v.02; hang up.v.02	Nancy Wheeler	5	1
22.5	1.5	15	dining table.n.01; lamp.n.02	dining.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
24.0	1.5	16	dining table.n.01; lamp.n.02	dining.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
25.5	1.5	17	dining table.n.01; lamp.n.02	dining.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
27.0	1.5	18	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
28.5	1.5	19	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
30.0	1.5	20	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
31.5	1.5	21	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; ask.v.04	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
33.0	1.5	22	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
34.5	1.5	23	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
36.0	1.5	24	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
37.5	1.5	25	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
39.0	1.5	26	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
40.5	1.5	27	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
42.0	1.5	28	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; compliment.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
43.5	1.5	29	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; compliment.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
45.0	1.5	30	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
46.5	1.5	31	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
48.0	1.5	32	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
49.5	1.5	33	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
51.0	1.5	34	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
52.5	1.5	35	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
54.0	1.5	36	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
55.5	1.5	37	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
57.0	1.5	38	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
58.5	1.5	39	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
60.0	1.5	40	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
61.5	1.5	41	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
63.0	1.5	42	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
64.5	1.5	43	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
66.0	1.5	44	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
67.5	1.5	45	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
69.0	1.5	46	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; persuade.v.01	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
70.5	1.5	47	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; approve.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
72.0	1.5	48	dining table.n.01; lamp.n.02	dining.v.01; analyze.v.01; hesitate.v.02; approve.v.02	Nancy Wheeler; Lucas Sinclair; Mike Wheeler; Dustin Henderson	5	1
