onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	daylight.n.01; police station.n.01; police car.n.01; flag.n.01; pole.n.01; 	drive.v.01	n/a	5	7
4.5	1.5	3	daylight.n.01; police station.n.01; police car.n.01; flag.n.01; pole.n.01; 	drive.v.01	n/a	5	7
6.0	1.5	4	daylight.n.01; police station.n.01; police car.n.01; flag.n.01; pole.n.01; 	park.v.02	n/a	5	3
7.5	1.5	5	daylight.n.01; police station.n.01; police car.n.01; flag.n.01; pole.n.01; car.n.01	park.v.02; drive.v.01	n/a	5	3
9.0	1.5	6	door.n.01; police car.n.01; cigarette.n.01; hat.n.01;	smoke.v.01; walk.v.01	Sheriff Jim Hopper	4	2
10.5	1.5	7	door.n.01; police car.n.01; cigarette.n.01; hat.n.01; woman.n.01; office.n.01	smoke.v.01; walk.v.01; speak to.v.01	Sheriff Jim Hopper	4	2
12.0	1.5	8	police department.n.01; police.n.01; chair.n.01; desk.n.01; 	greet.v.01; walk.v.01; sit.v.01	Sheriff Jim Hopper	5	1
13.5	1.5	9	police department.n.01; police.n.01; chair.n.01; desk.n.01; 	greet.v.01; walk.v.01; sit.v.01	Sheriff Jim Hopper	5	1
15.0	1.5	10	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02	greet.v.01; walk.v.01; sit.v.01	Sheriff Jim Hopper	5	1
16.5	1.5	11	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02	greet.v.01; walk.v.01; sit.v.01	Sheriff Jim Hopper	5	1
18.0	1.5	12	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02; playing card.n.01	walk.v.01; sit.v.01; comment.v.01; grab.v.03	Sheriff Jim Hopper	5	1
19.5	1.5	13	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02; playing card.n.01	walk.v.01; sit.v.01; comment.v.01; grab.v.03	Sheriff Jim Hopper	5	1
21.0	1.5	14	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02; playing card.n.01; coffee maker.n.01; cup.n.03	walk.v.01; sit.v.01; comment.v.01; grab.v.03	Sheriff Jim Hopper	5	1
22.5	1.5	15	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03	walk.v.01; sit.v.01; comment.v.01; grab.v.03; laugh.v.01	Sheriff Jim Hopper	5	1
24.0	1.5	16	police department.n.01; police.n.01; chair.n.01; desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03; 	walk.v.01; sit.v.01; comment.v.01; grab.v.03; laugh.v.01; approach.v.01	Sheriff Jim Hopper	5	1
25.5	1.5	17	police department.n.01; police.n.01;  desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03; paperwork.n.01	walk.v.01; sit.v.01; comment.v.01; grab.v.03; laugh.v.01; 	Sheriff Jim Hopper	5	1
27.0	1.5	18	police department.n.01; police.n.01;  desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03; paperwork.n.01	walk.v.01; sit.v.01; comment.v.01; grab.v.03; laugh.v.01; 	Sheriff Jim Hopper	5	1
28.5	1.5	19	police department.n.01; police.n.01;  desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03; paperwork.n.01	walk.v.01; sit.v.01; comment.v.01; grab.v.03; laugh.v.01; 	Sheriff Jim Hopper	5	1
30.0	1.5	20	police department.n.01; police.n.01;  desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03; paperwork.n.01	walk.v.01; approach.v.01; comment.v.01; grab.v.03; open.v.01	Sheriff Jim Hopper	5	1
31.5	1.5	21	police department.n.01; police.n.01;  desk.n.01; window.n.01; curtain.n.01; lamp.n.02;coffee maker.n.01; cup.n.03; paperwork.n.01	walk.v.01; approach.v.01; comment.v.01; grab.v.03; open.v.01	Sheriff Jim Hopper	5	1
