onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	introduction.n.01; signature tune.n.01; creation.n.01	create.v.01; credit.v.01	n/a	3	2
4.5	1.5	3	introduction.n.01; signature tune.n.01; creation.n.0; body.n.01	create.v.01; credit.v.01	n/a	3	3
6.0	1.5	4	introduction.n.01; signature tune.n.01; creation.n.0; body.n.01	create.v.01; credit.v.01	n/a	3	3
7.5	1.5	5	introduction.n.01; signature tune.n.01; creation.n.0; suspense.n.01	create.v.01; credit.v.01;	n/a	3	3
9.0	1.5	6	introduction.n.01; signature tune.n.01; creation.n.0; suspense.n.01	create.v.01; credit.v.01	n/a	3	3
10.5	1.5	7	introduction.n.01; signature tune.n.01; creation.n.0; suspense.n.01	create.v.01; credit.v.01	n/a	3	3
12.0	1.5	8	introduction.n.01; signature tune.n.01; creation.n.0; suspense.n.01	create.v.01; credit.v.01	n/a	3	3
13.5	1.5	9	introduction.n.01; suspense.n.01; forest.n.01; lake.n.01	create.v.01; credit.v.01	n/a	3	3
15.0	1.5	10	introduction.n.01; suspense.n.01; forest.n.01; lake.n.01	create.v.01; credit.v.01	n/a	3	3
16.5	1.5	11	introduction.n.01; suspense.n.01; forest.n.01; lake.n.01; chirp.n.01	write.v.01	n/a	3	3
18.0	1.5	12	forest.n.01; lake.n.01; chirp.n.01; dock.n.03	write.v.01	n/a	3	3
19.5	1.5	13	forest.n.01; lake.n.01; chirp.n.01; dock.n.03; porch.n.01; chair.n.01	write.v.01	n/a	3	3
21.0	1.5	14	forest.n.01; lake.n.01; chirp.n.01; dock.n.03; porch.n.01; chair.n.01	direct.v.03	n/a	3	3
22.5	1.5	15	chirp.n.01; porch.n.01; chair.n.01	direct.v.03	n/a	3	3
24.0	1.5	16	chirp.n.01; porch.n.01; chair.n.01; couch.n.01; bat.n.05	sleep.v.01; protect.v.01	joyce byers	3	3
25.5	1.5	17	chirp.n.01; porch.n.01; chair.n.01; couch.n.01; bat.n.05	sleep.v.01; protect.v.01	joyce byers	3	3
27.0	1.5	18	couch.n.01; bat.n.05; mom.n.01; voice.n.01	sleep.v.01; protect.v.01; awaken.v.01	joyce byers	3	3
28.5	1.5	19	couch.n.01; bat.n.05; mom.n.01; voice.n.01	sleep.v.01; protect.v.01; awaken.v.01	joyce byers	3	3
30.0	1.5	20	couch.n.01; bat.n.05; mom.n.01; voice.n.01	awaken.v.01; stand up.v.01; shock.v.03	joyce byers	3	3
31.5	1.5	21	couch.n.01; bat.n.05; mom.n.01; 	shock.v.03; disappoint.v.01; hopeful.v.01	joyce byers	3	3
33.0	1.5	22	couch.n.01; bat.n.05; mom.n.01; 	shock.v.03; disappoint.v.01; sit down.v.01; sadden.v.01; slouch.v.01	joyce byers	3	3
34.5	1.5	23	couch.n.01; bat.n.05; mom.n.01; scare.n.01	disappoint.v.01; sit down.v.01; sadden.v.01; slouch.v.01; frighten.v.01; 	joyce byers; will byers 	3	4
36.0	1.5	24	couch.n.01; bat.n.05; mom.n.01; scare.n.01; dreaming.n.01	awaken.v.01; frighten.v.01; 	joyce byers; jonathan byers 	3	3
37.5	1.5	25	couch.n.01; bat.n.05; mom.n.01; scare.n.01; dreaming.n.01	awaken.v.01; frighten.v.01; confuse.v.04; 	joyce byers; jonathan byers 	3	3
39.0	1.5	26	couch.n.01; bat.n.05; mom.n.01; time.n.02	awaken.v.01; confuse.v.04	joyce byers; jonathan byers 	3	3
40.5	1.5	27	couch.n.01; bat.n.05; mom.n.01; time.n.02	awaken.v.01; confuse.v.04	joyce byers; jonathan byers 	3	3
