onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	nighttime.n.01; tree.n.01; bicycle.n.01; boy.n.01; grass.n.01; light.n.02; pavement.n.01; house.n.01	cycle.v.01	Mike Wheeler	5	5
4.5	1.5	3	nighttime.n.01; tree.n.01; bicycle.n.01; boy.n.01; grass.n.01; light.n.02; pavement.n.01; house.n.01	cycle.v.01	Mike Wheeler	5	5
6.0	1.5	4	nighttime.n.01; tree.n.01; bicycle.n.01; boy.n.01; grass.n.01; light.n.02; pavement.n.01; house.n.01; window.n.01	cycle.v.01; look back.v.01	Mike Wheeler	5	6
7.5	1.5	5	nighttime.n.01; tree.n.01; bicycle.n.01; boy.n.01; grass.n.01; light.n.02; pavement.n.01; house.n.01; window.n.01; man.n.01	cycle.v.01; look back.v.01; climb.v.02	Mike Wheeler; Steve Harrington	5	6
9.0	1.5	6	nighttime.n.01; tree.n.01; bicycle.n.01; boy.n.01; grass.n.01; light.n.02;  house.n.01; window.n.01; man.n.01	cycle.v.01; look back.v.01; stare.v.01	Mike Wheeler; Steve Harrington	5	6
10.5	1.5	7	nighttime.n.01; bicycle.n.01; boy.n.01; grass.n.01; light.n.02;  house.n.01; window.n.01; man.n.01	 stare.v.01	Mike Wheeler; Steve Harrington	6	7
12.0	1.5	8	nighttime.n.01; bicycle.n.01; boy.n.01;  light.n.02;  house.n.01; window.n.01; man.n.01	 stare.v.01	Mike Wheeler; Steve Harrington	6	7
13.5	1.5	9	nighttime.n.01; bicycle.n.01; boy.n.01;  light.n.02;  house.n.01; window.n.01; man.n.01; tree.n.01; grass.n.01	 stare.v.01; cycle.v.01; climb.v.02	Mike Wheeler; Steve Harrington	5	6
15.0	1.5	10	nighttime.n.01; bicycle.n.01; boy.n.01;  light.n.02;  house.n.01; window.n.01; man.n.01; tree.n.01; grass.n.01	 cycle.v.01; climb.v.02	Mike Wheeler; Steve Harrington	5	6
16.5	1.5	11	nighttime.n.01; light.n.02;  house.n.01; window.n.01; man.n.01; tree.n.01; grass.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; 	study.v.05; climb.v.02	Nancy Wheeler; Steve Harrington	5	6
18.0	1.5	12	nighttime.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; 	study.v.05; 	Nancy Wheeler	5	3
19.5	1.5	13	nighttime.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; 	study.v.05;	Nancy Wheeler	5	3
21.0	1.5	14	nighttime.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; 	study.v.05; knock.v.01	Nancy Wheeler	3	6
22.5	1.5	15	nighttime.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; window.n.01; man.n.01	study.v.05; knock.v.01; face.v.03; smile.v.01	Nancy Wheeler; Steve Harrington	3	6
24.0	1.5	16	nighttime.n.01;  woman.n.01; curtain.n.01;  desk.n.01; window.n.01; man.n.01	 face.v.03; smile.v.01; blink.v.01	Nancy Wheeler; Steve Harrington	3	6
25.5	1.5	17	nighttime.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; window.n.01; man.n.01	smile.v.01; stand.v.01; 	Nancy Wheeler; Steve Harrington	4	2
27.0	1.5	18	nighttime.n.01; bedroom.n.01; woman.n.01; curtain.n.01; bed.n.01; desk.n.01; lamp.n.02; window.n.01; man.n.02	walk.v.01; stare.v.01	Nancy Wheeler; Steve Harrington	4	2
28.5	1.5	19	window.n.01; curtain.n.01; man.n.01; woman.n.01 	push up.v.01;	Nancy Wheeler; Steve Harrington	4	3
30.0	1.5	20	window.n.01; curtain.n.01; man.n.01; woman.n.02	whisper.v.01; laugh.v.01	Nancy Wheeler; Steve Harrington	6	4
31.5	1.5	21	window.n.01; curtain.n.01; man.n.01; woman.n.02	whisper.v.01; SMILE.V.01	Nancy Wheeler; Steve Harrington	6	4
33.0	1.5	22	window.n.01; curtain.n.01; man.n.01; woman.n.02	whisper.v.01; 	Nancy Wheeler; Steve Harrington	6	4
34.5	1.5	23	window.n.01; curtain.n.01; man.n.01; woman.n.02	whisper.v.01; nod.v.01	Nancy Wheeler; Steve Harrington	6	4
36.0	1.5	24	window.n.01; curtain.n.01; man.n.01; woman.n.02	climb.v.02	Nancy Wheeler; Steve Harrington	6	4
37.5	1.5	25	window.n.01; curtain.n.01; man.n.01; woman.n.02; bedroom.n.01; bed.n.01; lamp.n.02; ottoman.n.04	climb.v.02; enter.v.01	Nancy Wheeler; Steve Harrington	4	5
