onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	darkness.n.01; title.n.02	n/a	n/a	5	1
4.5	1.5	3	darkness.n.01; title.n.02	n/a	n/a	5	1
6.0	1.5	4	darkness.n.01; title.n.02	n/a	n/a	5	1
7.5	1.5	5	darkness.n.01; title.n.02	n/a	n/a	5	1
9.0	1.5	6	darkness.n.01; title.n.02	n/a	n/a	5	1
10.5	1.5	7	darkness.n.01; title.n.02	n/a	n/a	5	1
12.0	1.5	8	darkness.n.01; title.n.02; light.n.02	n/a	n/a	5	1
13.5	1.5	9	light.n.02; wall.n.02; cable.n.02	n/a	n/a	5	1
15.0	1.5	10	light.n.02; wall.n.02; cable.n.02	n/a	n/a	5	1
16.5	1.5	11	light.n.02; wall.n.02; cable.n.02	n/a	n/a	5	1
18.0	1.5	12	light.n.02; wall.n.02; cable.n.02	n/a	n/a	5	1
19.5	1.5	13	light.n.02; darkness.n.02	rattle.v.02	n/a	5	1
21.0	1.5	14	light.n.02; darkness.n.02; cable.n.02; door.n.01; wall.n.01	open.v.01; step.v.01	Jonathan Byers	5	2
22.5	1.5	15	light.n.02; darkness.n.02; cable.n.02; door.n.01; wall.n.01	close.v.01; stare.v.01	Jonathan Byers	5	1
24.0	1.5	16	light.n.02; darkness.n.02; cable.n.02; table.n.02; wall.n.01; bottle.n.01; book.n.01; couch.n.01; blanket.n.01; letter.n.02; cushion.n.03; person.n.01; glass.n.02	stare.v.01; slam.v.01	Jonathan Byers; Joyce Byers	5	3
25.5	1.5	17	darkness.n.01; wall.n.01; couch.n.01; blanket.n.01; table.n.02; bottle.n.01; glass.n.02; letter.n.02; book.n.01; cushion.n.03; person.n.01	talk.v.01; sit up.v.02	Joyce Byers	5	1
27.0	1.5	18	darkness.n.01; wall.n.01; couch.n.01; blanket.n.01; table.n.02; bottle.n.01; glass.n.02; letter.n.02; book.n.01; cushion.n.03; person.n.01; light.n.02; cable.n.02	sit up.v.02; stare.v.01	Jonathan Byers; Joyce Byers	5	1
28.5	1.5	19	light.n.02; darkness.n.02; cable.n.02; wall.n.01	talk.v.01; stare.v.01	Jonathan Byers	5	1
