onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	introduction.n.01; bicycle.n.02; street.n.01; car.n.01; freedom.n.01; 	ride.v.02; 	mike wheeler, lucas, dustin henderson, eleven 	2	2
4.5	1.5	3	introduction.n.01; bicycle.n.02; street.n.01; car.n.01; freedom.n.01; 	ride.v.02; 	mike wheeler, lucas, dustin henderson, eleven 	2	2
6.0	1.5	4	introduction.n.01; bicycle.n.02; street.n.01; car.n.01; freedom.n.01; 	ride.v.02; 	mike wheeler, lucas, dustin henderson, eleven 	2	2
7.5	1.5	5	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; 	mike wheeler, eleven 	2	2
9.0	1.5	6	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; 	mike wheeler, eleven 	2	2
10.5	1.5	7	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
12.0	1.5	8	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
13.5	1.5	9	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; enjoy.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
15.0	1.5	10	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; enjoy.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
16.5	1.5	11	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; 	ride.v.02; hold on.v.01; enjoy.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
18.0	1.5	12	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; smile.n.01	ride.v.02; hold on.v.01; enjoy.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
19.5	1.5	13	bicycle.n.02; street.n.01; car.n.01; freedom.n.01; surprise.n.01; smile.n.01; door.n.01; 	ride.v.02; hold on.v.01; enjoy.v.01; open up.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
21.0	1.5	14	school.n.1; door.n.01; hallway.n.01; disguise.n.01; 	open up.v.01; enter.v.01; walk.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
22.5	1.5	15	school.n.1; door.n.01; hallway.n.01; disguise.n.01; 	open up.v.01; enter.v.01; walk.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
24.0	1.5	16	school.n.1; door.n.01; hallway.n.01; disguise.n.01; plan.n.01	enter.v.01; walk.v.01; organize.v.02; remember.v.02; 	mike wheeler, eleven, lucas, dustin henderson	2	2
25.5	1.5	17	school.n.1; door.n.01; hallway.n.01; disguise.n.01; plan.n.01	enter.v.01; walk.v.01; organize.v.02; remember.v.02; 	mike wheeler, eleven, lucas, dustin henderson	2	2
27.0	1.5	18	school.n.1; door.n.01; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; 	mike wheeler, eleven, lucas, dustin henderson	2	2
28.5	1.5	19	school.n.1; door.n.01; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; 	mike wheeler, eleven, lucas, dustin henderson	2	2
30.0	1.5	20	school.n.1; door.n.01; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; 	mike wheeler, eleven, lucas, dustin henderson	2	2
31.5	1.5	21	school.n.1; door.n.01; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; 	mike wheeler, eleven, lucas, dustin henderson	2	2
33.0	1.5	22	school.n.1; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; door.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; lock.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
34.5	1.5	23	school.n.1; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; door.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; lock.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
36.0	1.5	24	school.n.1; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; door.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
37.5	1.5	25	school.n.1; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; door.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
39.0	1.5	26	school.n.1; hallway.n.01; disguise.n.01; plan.n.01; loudspeaker.n.01; door.n.01; power.n.01; 	enter.v.01; walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson	2	2
40.5	1.5	27	school.n.1; hallway.n.01; disguise.n.01; door.n.01; power.n.01; teacher.n.01; shock.n.01	walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson, scott clarke, 	2	2
42.0	1.5	28	school.n.1; hallway.n.01; disguise.n.01; door.n.01; power.n.01; teacher.n.01; shock.n.01	walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson, scott clarke, 	2	2
43.5	1.5	29	school.n.1; hallway.n.01; disguise.n.01; door.n.01; power.n.01; teacher.n.01; shock.n.01; assembly.n.03; 	walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson, scott clarke, 	2	2
45.0	1.5	30	school.n.1; hallway.n.01; disguise.n.01; door.n.01; power.n.01; teacher.n.01; shock.n.01; assembly.n.03; 	walk.v.01; organize.v.02; remember.v.02; lock.v.01; surprise.v.01; 	mike wheeler, eleven, lucas, dustin henderson, scott clarke, 	2	2
