onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	word.n.01	n/a	n/a	5	3
4.5	1.5	3	word.n.01	n/a	n/a	5	3
6.0	1.5	4	word.n.01	n/a	n/a	5	3
7.5	1.5	5	word.n.01	n/a	n/a	5	3
9.0	1.5	6	word.n.01	n/a	n/a	5	3
10.5	1.5	7	word.n.01	n/a	n/a	5	3
12.0	1.5	8	word.n.01	n/a	n/a	5	3
13.5	1.5	9	drawing.n.03	n/a	n/a	5	3
15.0	1.5	10	drawing.n.03; key.n.01	n/a	n/a	5	3
16.5	1.5	11	word.n.01; drawing.n.03	n/a	n/a	5	3
18.0	1.5	12	word.n.01; drawing.n.03; key.n.01	n/a	n/a	5	3
19.5	1.5	13	word.n.01; drawing.n.03; key.n.01; 	n/a	n/a	5	3
21.0	1.5	14	word.n.01; drawing.n.03; key.n.01	n/a	n/a	5	3
22.5	1.5	15	word.n.01; drawing.n.03; key.n.01	n/a	n/a	5	3
24.0	1.5	16	word.n.01; drawing.n.03; key.n.01; bottle.n.01	speak.v.01	n/a	5	3
25.5	1.5	17	word.n.01; drawing.n.03; key.n.01; bottle.n.01	speak.v.01	n/a	5	3
27.0	1.5	18	word.n.01; bottle.n.01; sandwich.n.01	speak.v.01	n/a	5	3
28.5	1.5	19	word.n.01; bottle.n.01; sandwich.n.01; television.n.01	speak.v.01	n/a	5	3
30.0	1.5	20	word.n.01; bottle.n.01; sandwich.n.01; television.n.01	speak.v.01	n/a	5	3
31.5	1.5	21	television.n.01; living room.n.01	speak.v.01	n/a	5	3
33.0	1.5	22	television.n.01; living room.n.01	speak.v.01	n/a	5	3
34.5	1.5	23	television.n.01; living room.n.01	speak.v.01	n/a	5	3
36.0	1.5	24	television.n.01; living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
37.5	1.5	25	word.n.01; living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
39.0	1.5	26	word.n.01; living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
40.5	1.5	27	word.n.01; living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
42.0	1.5	28	living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
43.5	1.5	29	word.n.01; living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
45.0	1.5	30	word.n.01; living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
46.5	1.5	31	living room.n.01; couch.n.01	sleep.v.01; speak.v.01	Hopper	5	3
48.0	1.5	32	word.n.01; living room.n.01; couch.n.01	bark.v.04; wake.v.01	Hopper	5	3
49.5	1.5	33	word.n.01; living room.n.01; couch.n.01	wake.v.01	Hopper	5	3
