onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	toaster.n.02; waffle.n.01; plate.n.04	eject.v.01; reach.v.03	Mike Wheeler	5	3
4.5	1.5	3	toaster.n.02; waffle.n.01; trench coat.n.01; person.n.01	hide.v.04	Mike Wheeler	5	4
6.0	1.5	4	toaster.n.02; waffle.n.01; trench coat.n.01; person.n.01	hide.v.04; surveillance.v.01	Mike Wheeler	5	4
7.5	1.5	5	toaster.n.02; waffle.n.01; trench coat.n.01; person.n.01	reach.v.03; place.v.01	Mike Wheeler	5	4
9.0	1.5	6	waffle.n.01; trench coat.n.01; person.n.01; chair.n.01	eat.v.01	Mike Wheeler; Nancy Wheeler; Holly Wheeler	5	4
10.5	1.5	7	waffle.n.01; trench coat.n.01; person.n.01; chair.n.01; utensil.n.01; orange juice.n.01; newspaper.n.01	eat.v.01; stare.v.01	Mike Wheeler; Nancy Wheeler; Holly Wheeler	5	4
12.0	1.5	8	waffle.n.01; trench coat.n.01; person.n.01; chair.n.01; utensil.n.01; orange juice.n.01; newspaper.n.01	eat.v.01; stare.v.01	Mike Wheeler; Nancy Wheeler; Karen Wheeler; Ted Wheeler	5	4
13.5	1.5	9	waffle.n.01; trench coat.n.01; sweater.n.01; chair.n.01; utensil.n.01; orange juice.n.01; newspaper.n.01	cut.v.01; eat.v.01; stare.v.01; command.v.03	Mike Wheeler; Nancy Wheeler; Karen Wheeler; Ted Wheeler	5	4
15.0	1.5	10	chair.n.01; sweater.n.01; plants.n.02; napkins.n.01; utensil.n.01; orange juice.n.01; newspaper.n.01	eat.v.01; staring.v.01; disgust.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler; Ted Wheeler	5	4
16.5	1.5	11	chair.n.01; sweater.n.01; plants.n.02; napkins.n.01; utensil.n.01; orange juice.n.01; newspaper.n.01	eat.v.01; stare.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler; Ted Wheeler; Holly Wheeler	5	4
18.0	1.5	12	trench coat.n.01; utensil.n.01; chair.n.01	eat.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler; Ted Wheeler; Holly Wheeler	5	4
19.5	1.5	13	chair.n.01; utensil.n.01; sweater.n.01; curtains .n.01; window.n.01	chew.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler; Ted Wheeler; Holly Wheeler	5	4
21.0	1.5	14	sweater.n.01; utensil.n.01; window.n.01	chew.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler	5	4
