onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	darkness.n.01	n/a	n/a	5	1
4.5	1.5	3	darkness.n.01; star.n.01; sky.n.01	sound.v.01; chirp.v.01	n/a	5	1
6.0	1.5	4	darkness.n.01; star.n.01; sky.n.01; light.n.02; fence.n.01	sound.v.01; chirp.v.01	n/a	5	1
7.5	1.5	5	darkness.n.01; star.n.01; sky.n.01; light.n.02; fence.n.01	sound.v.01; chirp.v.01	n/a	5	1
9.0	1.5	6	darkness.n.01; star.n.01; sky.n.01; light.n.02; fence.n.01	sound.v.01; chirp.v.01	n/a	5	1
10.5	1.5	7	darkness.n.01; star.n.01; sky.n.01; light.n.02; fence.n.01; window.n.01; building.n.01	sound.v.01; chirp.v.01	n/a	5	1
12.0	1.5	8	darkness.n.01; star.n.01; sky.n.01; light.n.02; fence.n.01; window.n.01; building.n.01	sound.v.01; chirp.v.01	n/a	5	1
13.5	1.5	9	darkness.n.01; star.n.01; sky.n.01; light.n.02; fence.n.01; window.n.01; building.n.01	sound.v.01; chirp.v.01	n/a	5	1
15.0	1.5	10	darkness.n.01; light.n.02; fence.n.01; window.n.01; building.n.01	sound.v.01; chirp.v.01	n/a	5	1
16.5	1.5	11	darkness.n.01; light.n.02; fence.n.01; window.n.01; building.n.01; door.n.01; person.n.01	sound.v.01; chirp.v.01; open.v.01	n/a	5	1
18.0	1.5	12	darkness.n.01; light.n.02; fence.n.01; window.n.01; building.n.01; door.n.01; person.n.01	sound.v.01; chirp.v.01; open.v.01; talk.v.01	n/a	5	2
19.5	1.5	13	hallway.n.01; light.n.02; door.n.01; lab coat.n.01; scientist.n.01	sound.v.01; chirp.v.01; open.v.01; walk.v.01	n/a	5	1
21.0	1.5	14	hallway.n.01; light.n.02; door.n.01; lab coat.n.01; scientist.n.01	sound.v.01; chirp.v.01; close.v.01; walk.v.01	n/a	5	1
22.5	1.5	15	hallway.n.01; light.n.02; door.n.01; person.n.01	sound.v.01; chirp.v.01; close.v.01; walk.v.01; grab.v.03	Sherrif Jim Hopper	5	1
24.0	1.5	16	darkness.n.01; light.n.02; fence.n.01; window.n.01; building.n.01; door.n.01; person.n.01; lab coat.n.01	sound.v.01; chirp.v.01; open.v.01; walk.v.01	Sherrif Jim Hopper	5	1
25.5	1.5	17	darkness.n.01; light.n.02; fence.n.01; window.n.01; building.n.01; door.n.01; person.n.01; lab coat.n.01	sound.v.01; chirp.v.01; close.v.01; walk.v.01	Sherrif Jim Hopper	5	1
27.0	1.5	18	door.n.01; wall.n.01	sound.v.01; step.v.01	Sherrif Jim Hopper	5	2
28.5	1.5	19	hallway.n.01; light.n.02; door.n.01; sign.n.02; camera.n.01	sound.v.01	n/a	5	1
30.0	1.5	20	door.n.01; wall.n.01	sound.v.01; step.v.01	Sherrif Jim Hopper	5	2
31.5	1.5	21	door.n.01; wall.n.01; light.n.02	sound.v.01; step.v.01	Sherrif Jim Hopper	5	2
33.0	1.5	22	door.n.01; wall.n.01; light.n.02	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	1
34.5	1.5	23	hallway.n.01; light.n.02; door.n.01; lab coat.n.01; scientist.n.01; sign.n.02	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	3
36.0	1.5	24	hallway.n.01; light.n.02; door.n.01; person.n.01	sound.v.01; step.v.01; sigh.v.01; enter.v.01; hide.v.02	Sherrif Jim Hopper	5	3
37.5	1.5	25	wall.n.01	sound.v.01; hide.v.02	Sherrif Jim Hopper	5	3
39.0	1.5	26	wall.n.01	sound.v.01; hide.v.02	sherrif Jim Hopper	5	3
40.5	1.5	27	wall.n.01; person.n.01; lab coat.n.01; scientist.n.01; paper.n.01	sound.v.01; hide.v.02; walk.v.01; talk.v.01	Sherrif Jim Hopper	5	3
42.0	1.5	28	wall.n.01; person.n.01; lab coat.n.01; scientist.n.01; paper.n.01	sound.v.01; hide.v.02; walk.v.01; talk.v.01	Sherrif Jim Hopper	5	3
43.5	1.5	29	wall.n.01	sound.v.01; hide.v.02	Sherrif Jim Hopper	5	3
45.0	1.5	30	wall.n.01; light.n.02; ceiling.n.01	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	3
46.5	1.5	31	ceiling.n.01; light.n.02	sound.v.01	n/a	5	1
48.0	1.5	32	ceiling.n.01; light.n.02; hallway.n.01; sign.n.02	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	2
49.5	1.5	33	ceiling.n.01; light.n.02; hallway.n.01; sign.n.02; door.n.01	sound.v.01; walk.v.01; turn.v.01	Sherrif Jim Hopper	5	2
51.0	1.5	34	ceiling.n.01; light.n.02; hallway.n.01; sign.n.02; door.n.01	sound.v.01; walk.v.01; turn.v.01	Sherrif Jim Hopper	5	2
52.5	1.5	35	door.n.01; wall.n.01; sign.n.02; entrance.n.01	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	2
54.0	1.5	36	entrance.n.01; sign.n.02; light.n.02	sound.v.01; step.v.01	Sherrif Jim Hopper	5	2
55.5	1.5	37	entrance.n.01; sign.n.02; light.n.02	sound.v.01; breath.v.01; stare.v.01	Sherrif Jim Hopper	5	3
57.0	1.5	38	hallway.n.01; light.n.02	sound.v.01; stare.v.01 	Sherrif Jim Hopper	5	2
58.5	1.5	39	hallway.n.01; light.n.02; entrance.n.01; sign.n.02	sound.v.01; step.v.01; grab.v.01	Sherrif Jim Hopper	5	3
60.0	1.5	40	entrance.n.01; sign.n.02; light.n.02	sound.v.01; unzip.v.01; open.v.01	Sherrif Jim Hopper	5	3
61.5	1.5	41	entrance.n.01; sign.n.02; light.n.02	sound.v.01; step.v.01	Sherrif Jim Hopper	5	2
63.0	1.5	42	entrance.n.01; sign.n.02; light.n.02; hallway.n.01	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	2
64.5	1.5	43	hallway.n.01; light.n.02; door.n.01	sound.v.01; walk.v.01	Sherrif Jim Hopper	5	2
66.0	1.5	44	hallway.n.01; light.n.02; door.n.01	sound.v.01; walk.v.01; turn.v.01	Sherrif Jim Hopper	5	2
67.5	1.5	45	hallway.n.01; light.n.02; door.n.01	sound.v.01; walk.v.01; grab.v.01	Sherrif Jim Hopper	5	2
69.0	1.5	46	door.n.01; wall.n.01	sound.v.01; rattle.v.02	Sherrif Jim Hopper	5	2
70.5	1.5	47	wall.n.01	sound.v.01; rattle.v.02	Sherrif Jim Hopper	5	3
72.0	1.5	48	wall.n.01	sound.v.01; breath.v.01; stare.v.01	Sherrif Jim Hopper	5	3
73.5	1.5	49	wall.n.01	sound.v.01; stare.v.01 	Sherrif Jim Hopper	5	2
75.0	1.5	50	wall.n.01	sound.v.01; cock.v.02	Sherrif Jim Hopper	5	4
76.5	1.5	51	wall.n.01; gun.n.01	sound.v.01; order.v.01; turn.v.01; aim.v.01; person.n.01	Sherrif Jim Hopper	5	4
78.0	1.5	52	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01	sound.v.01; order.v.01; talk.v.01	Sherrif Jim Hopper	5	4
79.5	1.5	53	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01	aim.v.01; turn.v.01; talk.v.01	Sherrif Jim Hopper	5	4
81.0	1.5	54	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01	aim.v.01; turn.v.01; talk.v.01	Sherrif Jim Hopper	5	3
82.5	1.5	55	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01	aim.v.01; talk.v.01	Sherrif Jim Hopper	5	3
84.0	1.5	56	wall.n.01; door.n.01; gun.n.01; person.n.01; suit.n.01	aim.v.01; talk.v.01; wave.v.01	Sherrif Jim Hopper	5	3
85.5	1.5	57	wall.n.01; door.n.01; gun.n.01; person.n.01; suit.n.01	aim.v.01; talk.v.01; wave.v.01	Sherrif Jim Hopper	5	3
87.0	1.5	58	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01; hallway.n.01; entrance.n.01	aim.v.01; grab.v.03	Sherrif Jim Hopper	5	2
88.5	1.5	59	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01; radio.n.01	aim.v.01; talk.v.01; hold.v.02	Sherrif Jim Hopper	5	2
90.0	1.5	60	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01	aim.v.01; talk.v.01; wave.v.01	Sherrif Jim Hopper	5	2
91.5	1.5	61	wall.n.01; door.n.01; person.n.01; suit.n.01; radio.n.01	wave.v.01; raise.v.02	Sherrif Jim Hopper	5	2
93.0	1.5	62	wall.n.01; door.n.01; gun.n.01; person.n.01; suit.n.01; radio.n.01	wave.v.01; talk.v.01; aim.v.01	Sherrif Jim Hopper	5	2
94.5	1.5	63	wall.n.01; door.n.01; gun.n.01; guard.n.01; person.n.01; suit.n.01; hallway.n.01; entrance.n.01; light.n.02	talk.v.01; punch.v.01	Sherrif Jim Hopper	5	5
96.0	1.5	64	wall.n.01; door.n.01; gun.n.01; guard.n.01	aim.v.01; walk.v.01	Sherrif Jim Hopper	5	4
97.5	1.5	65	wall.n.01; gun.n.01; guard.n.01; hallway.n.01; entrance.n.01; light.n.02	aim.v.01; grab.v.03; pin.v.01	Sherrif Jim Hopper	5	4
99.0	1.5	66	wall.n.01; gun.n.01; guard.n.01; hallway.n.01; entrance.n.01; light.n.02	aim.v.01; hold.v.02	Sherrif Jim Hopper	5	3
100.5	1.5	67	wall.n.01; gun.n.01; guard.n.01; hallway.n.01; entrance.n.01; light.n.02	aim.v.01; step.v.01; exhale.v.01	Sherrif Jim Hopper	5	3
102.0	1.5	68	wall.n.01; gun.n.01; guard.n.01; hallway.n.01; entrance.n.01; light.n.02	aim.v.01; step.v.01; exhale.v.01; talk.v.01	Sherrif Jim Hopper	5	3
103.5	1.5	69	wall.n.01; gun.n.01; guard.n.01; hallway.n.01; entrance.n.01; light.n.02	aim.v.01; grab.v.03; step.v.01	Sherrif Jim Hopper	5	2
105.0	1.5	70	wall.n.01; gun.n.01; guard.n.01; hallway.n.01; entrance.n.01; light.n.02; card.n.02	aim.v.01; talk.v.01; hold.v.02; pull.v.015	Sherrif Jim Hopper	5	2
106.5	1.5	71	wall.n.01; door.n.01; gun.n.01; guard.n.01; card.n.02	aim.v.01; swipe.v.01	Sherrif Jim Hopper	5	2
108.0	1.5	72	wall.n.01; door.n.01; gun.n.01	aim.v.01; step.v.01; ring.v.01	Sherrif Jim Hopper	5	2
109.5	1.5	73	door.n.01; gun.n.01; darkness.n.01	aim.v.01; step.v.01; open.v.01	Sherrif Jim Hopper	5	2
111.0	1.5	74	wall.n.01; door.n.01; gun.n.01; guard.n.01	aim.v.01; step.v.01; close.v.01	Sherrif Jim Hopper	5	2
112.5	1.5	75	darkness.n.01; window.n.01; door.n.01; gun.n.01	close.v.01; turn.v.01; step.v.01	Sherrif Jim Hopper	5	2
