onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	shelves.n.01; cabinet.n.01; sink.n.01; light.n.02	stare.v.01; search.v.01	Eleven; Mike Wheeler; Dustin Henderson; Lucas Sinclair	1	1
4.5	1.5	3	shelves.n.01; cabinet.n.01; sink.n.01; light.n.02	stare.v.01; search.v.01; walk.v.01; turn.v.01	Eleven; Mike Wheeler; Dustin Henderson; Lucas Sinclair	1	1
6.0	1.5	4	shelves.n.01; cabinet.n.01; sink.n.01; light.n.02	stare.v.01; search.v.01; walk.v.01	Eleven; Mike Wheeler; Dustin Henderson; Lucas Sinclair	1	1
7.5	1.5	5	shelves.n.01; cabinet.n.01; sink.n.01; light.n.02	stare.v.01; walk.v.01	Eleven; Mike Wheeler; Dustin Henderson; Lucas Sinclair	1	1
9.0	1.5	6	shelves.n.01; cabinet.n.01; sink.n.01; light.n.02; stairs.n.01; table.n.02; chair.n.01; board game.n.01; desk.n.01; basement.n.01	stare.v.01; walk.v.01; lower.v.01	Eleven; Mike Wheeler; Dustin Henderson; Lucas Sinclair	1	1
10.5	1.5	7	light.n.02; stairs.n.01; table.n.02; chair.n.01; board game.n.01; desk.n.01; basement.n.01	stare.v.01; walk.v.01; sit.v.01; tap.v.03; blink.v.01; lean.v.01	Eleven; Dustin Henderson	1	1
12.0	1.5	8	light.n.02; stairs.n.01; table.n.02; chair.n.01; board game.n.01; desk.n.01; basement.n.01	stare.v.01; walk.v.01; sit.v.01; speak.v.01; blink.v.01; lift.v.01	Eleven; Dustin Henderson; Lucas Sinclair	1	5
13.5	1.5	9	light.n.02; stairs.n.01; table.n.02; chair.n.01; board game.n.01; desk.n.01; basement.n.01	stare.v.01; walk.v.01; sit.v.01; blink.v.01; extend.v.02	Eleven; Dustin Henderson; Lucas Sinclair; Mike Wheeler	1	4
15.0	1.5	10	light.n.02; stairs.n.01; table.n.02; chair.n.01; board game.n.01; desk.n.01; basement.n.01	stare.v.01; walk.v.01; sit.v.01; blink.v.01; extend.v.02	Eleven; Dustin Henderson; Lucas Sinclair; Mike Wheeler	1	1
16.5	1.5	11	light.n.02; stairs.n.01; table.n.02; chair.n.01; board game.n.01; desk.n.01; basement.n.01	stare.v.01; walk.v.01; sit.v.01; blink.v.01; extend.v.02	Eleven; Dustin Henderson; Lucas Sinclair; Mike Wheeler	1	1
