onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
4.5	1.5	3	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
6.0	1.5	4	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
7.5	1.5	5	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
9.0	1.5	6	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
10.5	1.5	7	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
12.0	1.5	8	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
13.5	1.5	9	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
15.0	1.5	10	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
16.5	1.5	11	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
18.0	1.5	12	town.n.01; street.n.01; car.n.01;bike.n.02	pedal.v.01; ride.v.02; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
19.5	1.5	13	school.n.01; door.n.01; hallway.n.01	open.v.01; walk.v.01; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
21.0	1.5	14	school.n.01; door.n.01; hallway.n.01	open.v.01; walk.v.01; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
22.5	1.5	15	school.n.01; door.n.01; hallway.n.01	open.v.01; walk.v.01; look.v.02	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
24.0	1.5	16	school.n.01; door.n.01; hallway.n.01	walk.v.01; look.v.02; talk.v.01; remind.v.01	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
25.5	1.5	17	school.n.01; door.n.01; hallway.n.01	walk.v.01; look.v.02; talk.v.01; remind.v.01	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
27.0	1.5	18	school.n.01; door.n.01; hallway.n.01; announcement.n.01	walk.v.01; look.v.02; talk.v.01	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
28.5	1.5	19	school.n.01; door.n.01; hallway.n.01; announcement.n.01	walk.v.01; look.v.02; signal.v.01	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
30.0	1.5	20	school.n.01; door.n.01; hallway.n.01; announcement.n.01	walk.v.01; look.v.02; signal.v.01	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
31.5	1.5	21	school.n.01; door.n.01; hallway.n.01; announcement.n.01	walk.v.01; look.v.02; signal.v.01	Mike Wheeler; Dustin Henderson; Eleven; Lucas Sinclair	5	4
