onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	table.n.02; waffle.n.01; plate.n.04	eat.v.01	mike wheeler 	5	3
4.5	1.5	3	house.n.01; waffle.n.01	steal.v.01; eating.v.01	mike wheeler 	6	3
6.0	1.5	4	house.n.01; waffle.n.01	steal.v.01; sneak.v.02	mike wheeler 	6	3
7.5	1.5	5	house.n.01; waffle.n.01; breakfast.n.01	steal.v.01; eat.v.01	mike wheeler, nancy wheeler, holly wheeler 	5	3
9.0	1.5	6	breakfast table.n.01; waffle.n.01	eat.v.01	mike wheeler, nancy wheeler, holly wheeler 	6	4
10.5	1.5	7	breakfast table.n.01; waffle.n.01	eat.v.01; stare.v.01	mike wheeler, nancy wheeler, holly wheeler 	6	4
12.0	1.5	8	breakfast table.n.01; waffle.n.01	eat.v.01; stare.v.01	mike wheeler, nancy wheeler, karen wheeler	5	4
13.5	1.5	9	breakfast table.n.01; waffle.n.01	eat.v.01; stare.v.01; talk.v.01; judge.v.02	mike wheeler, nancy wheeler, karen wheeler	5	4
15.0	1.5	10	breakfast table.n.01; waffle.n.01; 	eat.v.01; talk.v.01; read.v.01	mike wheeler, nancy wheeler 	5	4
16.5	1.5	11	breakfast table.n.01	eat.v.01; talk.v.01; judge.v.02; stare.v.01	mike wheeler, nancy wheeler 	6	4
18.0	1.5	12	breakfast table.n.01	talk.v.01; question.v.03	mike wheeler, nancy wheeler 	6	4
19.5	1.5	13	breakfast table.n.01	talk.v.01; question.v.03; worry.v.01	mike wheeler, nancy wheeler 	6	4
21.0	1.5	14	breakfast table.n.01	talk.v.01; 	mike wheeler, nancy wheeler 	5	4
22.5	1.5	15	breakfast table.n.01	talk.v.01; question.v.03; 	mike wheeler, nancy wheeler, holly wheeler 	6	4
24.0	1.5	16	breakfast table.n.01	talk.v.01; question.v.03; 	mike wheeler, nancy wheeler, holly wheeler 	6	4
25.5	1.5	17	breakfast table.n.01	talk.v.01; kick.v.01	mike wheeler, nancy wheeler, holly wheeler 	6	4
27.0	1.5	18	breakfast table.n.01	argue.v.02; kick.v.01	mike wheeler, nancy wheeler, karen wheeler	6	4
28.5	1.5	19	breakfast table.n.01	eat.v.01; question.v.01	mike wheeler, nancy wheeler, karen wheeler, ted wheeler 	5	4
30.0	1.5	20	breakfast table.n.01	eat.v.01; answer.v.01	mike wheeler, nancy wheeler, karen wheeler, ted wheeler 	5	4
31.5	1.5	21	breakfast table.n.01	scold.v.02	mike wheeler, nancy wheeler 	6	4
33.0	1.5	22	breakfast table.n.01; phone.n.01	eat.v.01; dial.v.01	mike wheeler, nancy wheeler 	5	4
34.5	1.5	23	bed.n.01; phone.n.01	dial.v.01	eleven 	5	4
36.0	1.5	24	bed.n.01; phone.n.01	dial.v.01;sit.v.01	eleven 	5	4
37.5	1.5	25	bed.n.01; phone.n.01;sheet.n.03	look.v.01	eleven 	5	4
39.0	1.5	26	hideout.n.01; sheet.n.01	uncover.v.02	mike wheeler 	6	4
40.5	1.5	27	hideout.n.01; sheet.n.01	uncover.v.02	mike wheeler 	5	4
42.0	1.5	28	hideout.n.01; sheet.n.01	uncover.v.02; greet.v.01	mike wheeler, eleven 	6	4
43.5	1.5	29	hideout.n.01	talk.v.01	mike wheeler, eleven 	6	4
45.0	1.5	30	hideout.n.01	talk.v.01; admire.v.02	mike wheeler, eleven 	6	4
