onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	classroom.n.01; kid.n.01; window.n.01; desk.n.01; book.n.02; 	ring.v.01; stand.v.01;  put aside.v.01	Mike Wheeler	6	7
4.5	1.5	3	classroom.n.01; kid.n.01; window.n.01; desk.n.01; book.n.02; 	ring.v.01; stand.v.01;  put aside.v.01; walk.v.01	Mike Wheeler	6	7
6.0	1.5	4	classroom.n.01; kid.n.01; window.n.01; desk.n.01; book.n.02; 	stand.v.01;  put aside.v.01; walk.v.01; instruct.v.02		6	5
7.5	1.5	5	classroom.n.01; kid.n.01; window.n.01; desk.n.01; teacher.n.01	 walk.v.01; instruct.v.02		6	5
9.0	1.5	6	classroom.n.01; kid.n.01; window.n.01; desk.n.01; teacher.n.01	 walk.v.01; instruct.v.02		6	5
10.5	1.5	7	classroom.n.01; kid.n.01; window.n.01; desk.n.01; teacher.n.01	 walk.v.01; instruct.v.02; raise.v.02		6	5
12.0	1.5	8	classroom.n.01; kid.n.01; window.n.01; desk.n.01; teacher.n.01	 walk.v.01; instruct.v.02; lower.v.01		6	5
13.5	1.5	9	classroom.n.01; kid.n.01; teacher.n.01	 walk.v.01; instruct.v.02; lower.v.01		6	5
15.0	1.5	10	classroom.n.01; kid.n.01; teacher.n.01	 walk.v.01; instruct.v.02; lower.v.01		6	5
16.5	1.5	11	classroom.n.01;  teacher.n.02	  instruct.v.02; turn to.v.02		4	5
18.0	1.5	12	classroom.n.01;  teacher.n.02	  instruct.v.02; turn to.v.02		4	5
19.5	1.5	13	desk.n.01; classroom.n.01; kid.n.01; teacher.n.01; window.n.01; light.n.02	turn to.v.02; stand.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	4
21.0	1.5	14	desk.n.01; classroom.n.01; kid.n.01; teacher.n.01; window.n.01; light.n.02	turn to.v.02; stand.v.01; question.v.03	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
22.5	1.5	15	classroom.n.01; teacher.n.01; 	stare.v.02; reply.v.01		4	5
24.0	1.5	16	classroom.n.01; teacher.n.01; 	stare.v.02; reply.v.01		3	5
25.5	1.5	17	classroom.n.01; teacher.n.01; kid.n.01; light.v.02; window.v.01	stare.v.02; 	Mike Wheeler; Lucas Sinclair; Dustin Henderson	3	5
27.0	1.5	18	classroom.n.01; teacher.n.01; kid.n.01;  window.v.01; lamp.v.02; door.n.01; book.n.01; shelf.n.01	answer.v.01; open.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
28.5	1.5	19	classroom.n.01; teacher.n.01; kid.n.01;  window.v.01; lamp.v.02; door.n.01; book.n.01; shelf.n.01	open.v.01; rush.v.03	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
30.0	1.5	20	classroom.n.01; teacher.n.01; kid.n.01;  window.v.01; lamp.v.02; door.n.01; book.n.01; shelf.n.01	rush.v.03	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
31.5	1.5	21	classroom.n.01; teacher.n.01; kid.n.01;  window.v.01; lamp.v.02; door.n.01; book.n.01; shelf.n.01	rush.v.03; sit.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
33.0	1.5	22	classroom.n.01; teacher.n.01; kid.n.01;  window.v.01; lamp.v.02; door.n.01; book.n.01; shelf.n.01	sit.v.01; grab.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
34.5	1.5	23	teacher.n.01; kid.n.01;   lamp.v.02; shelf.n.01; headphone.n.01; equipment.n.01	sit.v.01; grab.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
36.0	1.5	24	teacher.n.01; kid.n.01;   lamp.v.02; shelf.n.01; headphone.n.01; equipment.n.01; dial.n.03	 grab.v.02; twist.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
37.5	1.5	25	teacher.n.01; kid.n.01;   lamp.v.02; shelf.n.01; headphone.n.01; equipment.n.01; dial.n.03	 grab.v.02; twist.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
39.0	1.5	26	teacher.n.01; kid.n.01;   lamp.v.02; shelf.n.01; headphone.n.01; equipment.n.01; dial.n.03	 grab.v.02; twist.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
40.5	1.5	27	teacher.n.01; kid.n.01; headphone.n.01	stare.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	5	3
42.0	1.5	28	teacher.n.01; kid.n.01; headphone.n.01; equipment.n.01;  lamp.n.02	stare.v.02; nod.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	5	3
43.5	1.5	29	teacher.n.01; kid.n.01; headphone.n.01; equipment.n.01;  lamp.n.02	 nod.v.01; smile.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	7	5
45.0	1.5	30	teacher.n.01; kid.n.01; headphone.n.01; equipment.n.01;  lamp.n.02	 smile.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	7	5
46.5	1.5	31	kid.n.01; lamp.n.02	 smile.v.01; exclaim.v.01; curse.v.01	Lucas Sinclair	7	5
48.0	1.5	32	kid.n.01; lamp.n.02; teacher.n.01;desk.n.01; headphones.n.01	call out.v.01; cross.v.04	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	6
49.5	1.5	33	kid.n.01; lamp.n.02; teacher.n.01;desk.n.01; headphones.n.01	smile.v.01; cross.v.04; apologize.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	7	6
51.0	1.5	34	teacher.n.01; equipment.n.01; hand.n.01	smile.v.01; cross.v.04; touch.v.01		7	5
52.5	1.5	35	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01	touch.v.01; lean.v.01; breathe.v.01	Mike Wheeler	5	4
54.0	1.5	36	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01; cross.v.04; stare.v.02; speak.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
55.5	1.5	37	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01; cross.v.04; stare.v.02; speak.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
57.0	1.5	38	 equipment.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01; cross.v.04; stare.v.02; speak.v.01; grab.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
58.5	1.5	39	 equipment.n.01;headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01; cross.v.04; stare.v.02; speak.v.01; grab.v.01; wear.v.02	Mike Wheeler; Lucas Sinclair; Dustin Henderson	6	5
60.0	1.5	40	headphones.n.01; microphone.n.01; shelf.n.01; 	lean.v.01;stare.v.02;  wear.v.02; laugh.v.01	Mike Wheeler;Dustin Henderson	8	6
61.5	1.5	41	headphones.n.01; microphone.n.01; shelf.n.01; 	lean.v.01;stare.v.02;  wear.v.02; laugh.v.01; speak.v.01	Mike Wheeler;Dustin Henderson	8	6
63.0	1.5	42	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01;stare.v.02;  wear.v.02; laugh.v.01; speak.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	8	6
64.5	1.5	43	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01; stare.v.02; speak.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	8	6
66.0	1.5	44	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02	lean.v.01; stare.v.02; speak.v.01; Laugh.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	9	6
67.5	1.5	45	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02; policeman.n.01; principal.n.01	lean.v.01; Laugh.v.01; grab.v.01; open.v.01; 	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
69.0	1.5	46	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02; policeman.n.01; principal.n.01	lean.v.01; Laugh.v.01; grab.v.01;  beckon.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
70.5	1.5	47	 equipment.n.01; hand.n.01; headphones.n.01; desk.n.01; microphone.n.01; teacher.n.01; shelf.n.01; door.n.01; lamp.n.02; policeman.n.01; principal.n.01	lean.v.01; beckon.v.01; stare.v.01; ask.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
72.0	1.5	48	 headphones.n.01;  teacher.n.01;  door.n.01; lamp.n.02; policeman.n.01; principal.n.01	stare.v.02; ask.v.01; point.v.01; name.v.08	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
73.5	1.5	49	 headphones.n.01; lamp.n.02; desk.n.01; shelf.n.01	stare.v.02; 	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
75.0	1.5	50	 headphones.n.01; lamp.n.02; desk.n.01; shelf.n.01; couch.n.01	stare.v.02; blabber.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
76.5	1.5	51	 desk.n.01; couch.n.01; principal.n.02; policeman.n.01; office.n.01; chair.n.01	stare.v.02; blabber.v.01; sit.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson	4	7
78.0	1.5	52	 desk.n.01; couch.n.01; principal.n.02; policeman.n.01; office.n.01; chair.n.01	 blabber.v.01; sit.v.01; shout.v.01	Mike Wheeler; Lucas Sinclair; Dustin Henderson; Sheriff Jim Hopper	4	7
79.5	1.5	53	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.01	sit.v.01; instruct.v.02	sheriff Jim Hopper	4	7
81.0	1.5	54	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.01	sit.v.01; instruct.v.02	Sheriff Jim Hopper	4	7
82.5	1.5	55	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; instruct.v.03	Sheriff Jim Hopper	4	7
84.0	1.5	56	couch.n.02	sit.v.01;point.v.01; call out.v.01	Sheriff Jim Hopper; Mike Wheeler, Lucas Sinclair	4	4
85.5	1.5	57	couch.n.02	sit.v.01;answer.v.02	Sheriff Jim Hopper; Mike Wheeler, Lucas Sinclair	4	4
87.0	1.5	58	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; question.v.03	Sheriff Jim Hopper; Mike Wheeler, Lucas Sinclair; Dustin Henderson	4	4
88.5	1.5	59	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; reply.v.01	Sheriff Jim Hopper; Mike Wheeler, Lucas Sinclair; Dustin Henderson	4	4
90.0	1.5	60	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; question.v.03	Sheriff Jim Hopper; 	4	4
91.5	1.5	61	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; question.v.03	Sheriff Jim Hopper; 	4	4
93.0	1.5	62	 desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; reply.v.01	Sheriff Jim Hopper; Mike Wheeler; Lucas sinclair; Dustin Henderson	4	4
94.5	1.5	63	couch.n.01	sit.v.01; stare.v.02; reply.v.01; turn to.v.02	 Mike Wheeler; Lucas sinclair; Dustin Henderson	4	4
96.0	1.5	64	couch.n.01	sit.v.01; stare.v.02; reply.v.01; turn to.v.02	 Mike Wheeler; Lucas sinclair; Dustin Henderson	4	4
97.5	1.5	65	couch.n.01	sit.v.01; stare.v.02; turn to.v.02; shout.v.01	 Mike Wheeler; Lucas sinclair; Dustin Henderson	4	6
99.0	1.5	66	couch.n.01; desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; turn to.v.02; shout.v.01; lean.v.01	 Mike Wheeler; Lucas sinclair; Dustin Henderson; sheriff Jim Hopper	4	6
100.5	1.5	67	couch.n.01; desk.n.01;  principal.n.02; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; turn to.v.02; shout.v.01; lean.v.01; calm down.v.02	 Mike Wheeler; Lucas sinclair; Dustin Henderson; sheriff Jim Hopper	4	6
102.0	1.5	68	couch.n.01;	sit.v.01; stare.v.02; turn to.v.02; question.v.03	 Mike Wheeler; Lucas sinclair; Dustin Henderson; 	4	6
103.5	1.5	69	couch.n.01; desk.n.01; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; turn to.v.02; instruct.v.02	 Mike Wheeler; Lucas sinclair; Dustin Henderson; Sheriff Jim Hopper	4	6
105.0	1.5	70	 desk.n.01; policeman.n.01; office.n.01; chair.n.02	sit.v.01; stare.v.02; turn to.v.02; instruct.v.02	Sheriff Jim Hopper	4	6
106.5	1.5	71	 desk.n.01; policeman.n.01; office.n.01; chair.n.02; couch.n.01	sit.v.01; stare.v.02; turn to.v.02; instruct.v.02	Sheriff Jim Hopper; Lucas Sinclair; Mike Wheeler	4	6
108.0	1.5	72	 couch.n.01	sit.v.01; stare.v.02; reply.v.01	Lucas Sinclair; Mike Wheeler	4	6
