onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	inside.n.02; sofa.n.01; lamp.n.02; window.n.01; box.n.01	drag.v.01	Mike Wheeler	5	1
4.5	1.5	3	inside.n.02; sofa.n.01; lamp.n.02; window.n.01; box.n.01	drag.v.01	Mike Wheeler	5	1
6.0	1.5	4	inside.n.02; sofa.n.01; box.n.01	hurry.v.01; open.v.01	Mike Wheeler	5	1
7.5	1.5	5	inside.n.02; sofa.n.01; box.n.01	hurry.v.01; open.v.01; search.v.01	Mike Wheeler	5	1
9.0	1.5	6	inside.n.02; sofa.n.01; box.n.01; tangle.n.01; light.n.02	hurry.v.01; open.v.01; search.v.01	Mike Wheeler	5	1
10.5	1.5	7	inside.n.02; sofa.n.01; lamp.n.02; window.n.01; box.n.01; tangle.n.01; light.n.02	extract.v.01	Mike Wheeler	5	1
12.0	1.5	8	inside.n.02; sweater.n.01 window.n.01; door.n.01	hammer.v.01		5	1
13.5	1.5	9	inside.n.02; sweater.n.01 window.n.01; door.n.01; chair.n.01	hammer.v.01; dismount.v.01		5	1
15.0	1.5	10	inside.n.02; sweater.n.01 window.n.01; door.n.01; chair.n.01	hammer.v.01; dismount.v.01		5	1
16.5	1.5	11	inside.n.02; sweater.n.01 window.n.01; door.n.01; chair.n.01	push.v.01		5	1
18.0	1.5	12	inside.n.02; sweater.n.01 window.n.01; door.n.01; dog.n.01	hammer.v.01		5	1
19.5	1.5	13	inside.n.02; window.n.01; door.n.01; dog.n.01	hammer.v.01		5	1
21.0	1.5	14	inside.n.02; window.n.01; door.n.01; chair.n.01	hammer.v.01; push.v.01		5	1
22.5	1.5	15	inside.n.02	hammer.v.01		5	1
24.0	1.5	16	inside.n.02; sofa.n.01	push.v.01		5	1
25.5	1.5	17	inside.n.02; frame.n.11	rearrange.v.01		5	1
27.0	1.5	18	inside.n.02; frame.n.11	extract.v.01		5	1
28.5	1.5	19	inside.n.02; window.n.01; door.n.01	hammer.v.01		5	1
30.0	1.5	20	inside.n.02; window.n.01; door.n.01	hammer.v.01		5	1
31.5	1.5	21	inside.n.02; window.n.01; door.n.01	hammer.v.01		5	1
33.0	1.5	22	inside.n.02; window.n.01; door.n.01	hammer.v.01		5	1
34.5	1.5	23	inside.n.02; light.n.02; wall.n.01	hang up.v.01; hurry.v.01		5	1
36.0	1.5	24	inside.n.02; light.n.02; wall.n.01	hang up.v.01; hurry.v.01		5	1
37.5	1.5	25	inside.n.02; light.n.02; wall.n.01; door.n.01; window.n.01	hang up.v.01; hurry.v.01		5	1
39.0	1.5	26	inside.n.02; wall.n.01; light.n.02; dog.n.01	hang up.v.01; hurry.v.01		5	1
40.5	1.5	27	inside.n.02; light.n.02; wall.n.01; door.n.01; window.n.01	hang up.v.01; hurry.v.01		5	1
42.0	1.5	28	inside.n.02; light.n.02; wall.n.01; door.n.01; window.n.01; sweater.n.01	hang up.v.01; hurry.v.01		5	1
43.5	1.5	29	inside.n.02; light.n.02; wall.n.01; door.n.01; window.n.01; sweater.n.01	hang up.v.01; hurry.v.01		5	1
45.0	1.5	30	inside.n.02; light.n.02; wall.n.01	hang up.v.01; hurry.v.01		5	1
46.5	1.5	31	inside.n.02; light.n.02; wall.n.01	hang up.v.01; hurry.v.01		5	1
48.0	1.5	32	inside.n.02; light.n.02; wall.n.01	hang up.v.01; hurry.v.01		5	1
49.5	1.5	33	inside.n.02; light.n.02	hurry.v.01; unwind.v.01		5	1
51.0	1.5	34	inside.n.02; light.n.02; window.n.01; sofa.n.01	hurry.v.01; unwind.v.01		5	1
52.5	1.5	35	inside.n.02; light.n.02; window.n.01; sofa.n.01	hurry.v.01; unwind.v.01		5	1
54.0	1.5	36	inside.n.02; light.n.02; window.n.01; sofa.n.01	hurry.v.01; unwind.v.01		5	1
55.5	1.5	37	inside.n.02; light.n.02; window.n.01; sofa.n.01	hurry.v.01; unwind.v.01		5	1
57.0	1.5	38	inside.n.02; box.n.01; table.n.02; light.n.02	place.v.01		5	1
58.5	1.5	39	inside.n.02; box.n.01; light.n.02; counter.n.01	place.v.01		5	1
60.0	1.5	40	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
61.5	1.5	41	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
63.0	1.5	42	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
64.5	1.5	43	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
66.0	1.5	44	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
67.5	1.5	45	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
69.0	1.5	46	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
70.5	1.5	47	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	place.v.01		5	1
72.0	1.5	48	inside.n.02; box.n.01; light.n.02; counter.n.01; store.n.01; daylight.n.02	exhaust.v.01		5	1
73.5	1.5	49	inside.n.02; store.n.01	exhaust.v.01		5	1
75.0	1.5	50	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02	search.v.01	Sheriff Jim Hopper	5	1
76.5	1.5	51	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02	search.v.01	Sheriff Jim Hopper	5	1
78.0	1.5	52	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02; building.n.01; tree.n.01	search.v.01	Sheriff Jim Hopper	5	1
79.5	1.5	53	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02; building.n.01; tree.n.01	search.v.01	Sheriff Jim Hopper	5	1
81.0	1.5	54	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02; building.n.01; tree.n.01	search.v.01	Sheriff Jim Hopper	5	1
82.5	1.5	55	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02	search.v.01	Sheriff Jim Hopper	5	1
84.0	1.5	56	outside.n.02; log.n.01; flashlight.n.01; daylight.n.02	search.v.01	Sheriff Jim Hopper	5	1
