onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
4.5	1.5	3	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
6.0	1.5	4	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
7.5	1.5	5	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
9.0	1.5	6	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
10.5	1.5	7	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
12.0	1.5	8	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
13.5	1.5	9	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
15.0	1.5	10	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
16.5	1.5	11	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
18.0	1.5	12	daytime.n.01; house.n.01; lamp.n.02	explain.v.03	Mike Wheeler	5	1
19.5	1.5	13	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
21.0	1.5	14	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
22.5	1.5	15	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
24.0	1.5	16	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
25.5	1.5	17	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
27.0	1.5	18	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
28.5	1.5	19	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
30.0	1.5	20	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
31.5	1.5	21	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
33.0	1.5	22	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
34.5	1.5	23	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
36.0	1.5	24	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
37.5	1.5	25	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
39.0	1.5	26	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01	Mike Wheeler	5	1
40.5	1.5	27	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; empathize.v.01; distract.v.01	Mike Wheeler	5	1
42.0	1.5	28	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; distract.v.01; wonder	Mike Wheeler	5	1
43.5	1.5	29	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; distract.v.01; wonder; deny.v.01	Mike Wheeler	5	1
45.0	1.5	30	daytime.n.01; house.n.01; lamp.n.02	explain.v.03; distract.v.01; wonder; deny.v.01	Mike Wheeler	5	1
46.5	1.5	31	daytime.n.01; house.n.01; door.n.01; lamp.n.02; trophy.n.01	hurry.v.01; close.v.01	Mike Wheeler	5	1
48.0	1.5	32	daytime.n.01; house.n.01; door.n.01; lamp.n.02; trophy.n.01	hurry.v.01; close.v.01	Mike Wheeler	5	1
49.5	1.5	33	daytime.n.01; house.n.01; door.n.01; lamp.n.02; trophy.n.01	hurry.v.01; close.v.01; worry.v.01	Mike Wheeler	5	1
51.0	1.5	34	daytime.n.01; house.n.01; door.n.01; lamp.n.02; trophy.n.01	hurry.v.01; open.v.01; worry.v.01; call out.v.02	Mike Wheeler	5	1
52.5	1.5	35	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; call out.v.02	Mike Wheeler	5	1
54.0	1.5	36	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; cry.v.02	Mike Wheeler	5	1
55.5	1.5	37	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; cry.v.02	Mike Wheeler	5	1
57.0	1.5	38	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; cry.v.02	Mike Wheeler	5	1
58.5	1.5	39	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; cry.v.02	Mike Wheeler	5	1
60.0	1.5	40	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; cry.v.02	Mike Wheeler	5	1
61.5	1.5	41	daytime.n.01; house.n.01; door.n.01; closet.n.03	hurry.v.01; open.v.01; worry.v.01; cry.v.02	Mike Wheeler	5	1
