onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	toaster.n.01; plate.n.04; waffle.n.01; table.n.02;  apple.n.01; bread.n.01; phone.n.01; home.n.01	reach.v.03; grab.v.01; touch.v.01	Mike Wheeler.	5	1
4.5	1.5	3	toaster.n.01; waffle.n.01; table.n.02; chair.n.01; stairs.n.01; lamp.n.02; plant.n.02; pocket.n.01; clothing.n.01; home.n.01	tuck.v.01; glance.v.01; 	Mike Wheeler.	5	6
6.0	1.5	4	toaster.n.01; waffle.n.01; table.n.02; chair.n.01; stairs.n.01; lamp.n.02; plant.n.02; pocket.n.01; home.n.01; clothing.n.01	 look.v.04; stuff.v.01; turn.v.01	Mike Wheeler.	5	6
7.5	1.5	5	waffle.n.01; toaster.n.01; table.n.02; chair.n.01; lamp.n.02; plant.n.02; stairs.n.01; home.n.01; clothing.n.01; plate.n.04	take.v.04; place.v.01; grab.v.01	Mike Wheeler; Nancy Wheeler; Mike and Nancy's baby sister	4	5
9.0	1.5	6	table.n.02; waffle.n.01; chair.n.01; curtain.n.01; clothing.n.01; plate.n.04	eat.v.01; glance.v.01; touch.v.01; sit.v.01; chew.v.01	Mike Wheeler; Nancy Wheeler; Mike and Nancy's baby sister	4	7
10.5	1.5	7	tabe.n.02; waffle.n.01; chair.n.01; plate.n.04; fork.n.01; napkins.n.01; cup.n.01; newspaper.n.01	glare.v.01; eat.v.01; chew.v.01; 	Mike Wheeler; Nancy Wheeler; Mike and Nancy's baby sister	4	3
12.0	1.5	8	curtain.n.01; newspaper.n.01; cup.n.01; plate.n.04; plant.n.02; fork.n.01; honey.n.01	eat.v.01; glance.v.01; cut.v.01; frown.v.01	Mike Wheeler; Nancy Wheeler; Mrs. Wheeler	5	5
13.5	1.5	9	plate.n.04; fork.n.01; table.n.02; cup.n.01; newspaper.n.01; curtain.n.01; chair.n.01; honey.n.01	speak.v.01; eat.v.01; cut.v.01; stare.v.01	Mike Wheeler; Nancy Wheeler; Mrs. Wheeler	4	4
15.0	1.5	10	plate.n.04; curtain.n.01; fork.n.01; knife.n.01; table.n.02; cup.n.01; plant.n.02; chair.n.01	speak.v.01; eat.v.01; cut.v.01; stare.v.01	Mike Wheeler; Nancy Wheeler	2	1
16.5	1.5	11	fork.n.01; cup.n.01; plate.n.04; curtain.n.01; chair.n.01; plant.n.01 	speak.v.01; eat.v.01; stare.v.01	Mike Wheeler; Nancy Wheeler	1	5
18.0	1.5	12	chair.n.01; fork.n.01, table.n.02; curtain.n.01; plate.n.04 	blink.v.01; eat.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler	5	4
19.5	1.5	13	curtain.n.01; fork.n.01; stairs.n.01; chair.n.01; window.n.01; plate.n.04 	blink.v.01; speak.v.01; chew.v.01	Mike Wheeler; Nancy Wheeler	5	7
21.0	1.5	14	window.n.01; chair.n.01; fork.n.01; curtain.n.01; plate.n.04; table.n.02; stairs.n.01 	eat.v.01; speak.v.01	MikeWheeler; Nancy Wheeler	5	5
22.5	1.5	15	window.n.01; chair.n.01; fork.n.01; curtain.n.01; plate.n.04; table.n.02; stairs.n.01	eat.v.01; speak.v.01	Mike Wheeler; Nancy Wheeler; Mike and Nancy's baby sister	4	5
24.0	1.5	16	chair.n.01; fork.n.01, table.n.02; curtain.n.01; plate.n.04 	speak.v.01; cut.v.01	Mike Wheeler; Nancy Wheeler; Mike and Nancy's baby sister	4	5
