onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	toaster.n.2; waffle.n.1 	n/a	n/a	5.0	5.0
4.5	1.5	3	toaster.n.2; waffle.n.1; kitchen.n.1; boy.n.1 	steal.n.1 	Mike Wheeler 	5.0	5.0
6.0	1.5	4	toaster.n.2; waffle.n.1; kitchen.n.1; boy.n.1 	steal.n.1 	Mike Wheeler 	5.0	5.0
7.5	1.5	5	toaster.n.2; waffle.n.1; kitchen.n.1; boy.n.1; girl.n.1 	eat.n.1 	Mike Wheeler; Nancy Wheeler; little girl 	5.0	5.0
9.0	1.5	6	waffle.n.1; boy.n.1; girl.n.1 	eat.n.1 	Mike Wheeler; Nancy Wheeler; little girl 	5.0	5.0
10.5	1.5	7	waffle.n.1; boy.n.1; girl.n.1; table.n.2 	eat.n.1; look.n.1 	Mike Wheeler; Nancy Wheeler; little girl 	5.0	3.0
12.0	1.5	8	waffle.n.1; boy.n.1; girl.n.1; table.n.2 ; mom.n.1 	eat.n.1; look.n.1 	Mike Wheeler; Nancy Wheeler; Karen Wheeler	5.0	3.0
13.5	1.5	9	waffle.n.1; boy.n.1; girl.n.1; table.n.2 ; mom.n.1 	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler; Karen Wheeler	5.0	3.0
15.0	1.5	10	waffle.n.1; boy.n.1; girl.n.1; table.n.2 	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler	5.0	3.0
16.5	1.5	11	waffle.n.1; boy.n.1; girl.n.1; table.n.2 	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler	5.0	3.0
18.0	1.5	12	boy.n.1; girl.n.1; table.n.2 	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler	5.0	3.0
19.5	1.5	13	boy.n.1; girl.n.1	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler	5.0	3.0
21.0	1.5	14	boy.n.1; girl.n.1	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler	5.0	3.0
22.5	1.5	15	boy.n.1; girl.n.1	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler; little girl 	5.0	3.0
24.0	1.5	16	boy.n.1; girl.n.1	eat.n.1; look.n.1; talk.n.1 	Mike Wheeler; Nancy Wheeler; little girl 	5.0	3.0
25.5	1.5	17	boy.n.1; girl.n.1; shoe.n.1 	eat.n.1; look.n.1; talk.n.1; kick.n.1	Mike Wheeler; Nancy Wheeler; little girl 	5.0	4.0
27.0	1.5	18	boy.n.1; girl.n.1; shoe.n.1; mom.n.1 	eat.n.1; look.n.1; talk.n.1; kick.n.1	Mike Wheeler; Nancy Wheeler; Karen Wheeler; little girl 	5.0	4.0
28.5	1.5	19	boy.n.1; girl.n.1; table.n.2; mom.n.1 	eat.n.1; look.n.1; talk.n.1	Mike Wheeler; Nancy Wheeler; Karen Wheeler	5.0	4.0
30.0	1.5	20	boy.n.1; girl.n.1; table.n.2	eat.n.1; look.n.1; talk.n.1	Mike Wheeler; Nancy Wheeler	5.0	3.0
31.5	1.5	21	boy.n.1; girl.n.1; table.n.2	eat.n.1; look.n.1; talk.n.1	Mike Wheeler; Nancy Wheeler	5.0	3.0
33.0	1.5	22	boy.n.1; girl.n.1; table.n.2; phone.n.1 	eat.n.1; look.n.1; talk.n.1; press.n.1	Mike Wheeler; Nancy Wheeler	5.0	3.0
34.5	1.5	23	girl.n.1; phone.n.1 	press.n.1	Eleven	5.0	3.0
36.0	1.5	24	girl.n.1; phone.n.1 	press.n.1	Eleven	5.0	3.0
37.5	1.5	25	girl.n.1; blanket.n.1 	look.n.1 	Eleven 	5.0	3.0
39.0	1.5	26	boy.n.1; blanket.n.1 	lift.n.1 	n/a	5.0	3.0
40.5	1.5	27	boy.n.1; blanket.n.1 	lift.n.1 	Mike Wheeler	5.0	3.0
42.0	1.5	28	boy.n.1	smile.n.1 	Mike Wheeler	6.0	4.0
43.5	1.5	29	boy.n.1; girl.n.1	talk.n.1 	Mike Wheeler; Eleven 	5.0	4.0
45.0	1.5	30	boy.n.1; girl.n.1	talk.n.1 	Mike Wheeler; Eleven 	5.0	4.0
46.5	1.5	31	boy.n.1	talk.n.1 	Mike Wheeler	5.0	3.0
48.0	1.5	32	boy.n.1	talk.n.1 	Mike Wheeler	5.0	3.0
49.5	1.5	33	boy.n.1; girl.n.1	talk.n.1 	Mike Wheeler; Eleven 	5.0	3.0
51.0	1.5	34	boy.n.1; girl.n.1	look.n.1 	Mike Wheeler; Eleven 	5.0	3.0
52.5	1.5	35	boy.n.1; girl.n.1; bed.n.1 	look.n.1 	Mike Wheeler; Eleven 	5.0	3.0
54.0	1.5	36	boy.n.1; girl.n.1; bed.n.1; waffle.n.1	talk.n.1; give.n.20 	Mike Wheeler; Eleven 	5.0	3.0
55.5	1.5	37	boy.n.1; girl.n.1; bed.n.1; waffle.n.1	talk.n.1; give.n.20; take.n.4  	Mike Wheeler; Eleven 	5.0	3.0
57.0	1.5	38	boy.n.1; girl.n.1; bed.n.1; waffle.n.1	talk.n.1; give.n.20; take.n.4 ; bite.n.1 	Mike Wheeler; Eleven 	5.0	3.0
58.5	1.5	39	boy.n.1; girl.n.1; bed.n.1; waffle.n.1	talk.n.1; bite.n.1; eat.n.1; point.n.1 	Mike Wheeler; Eleven 	5.0	3.0
60.0	1.5	40	boy.n.1; bed.n.1	talk.n.1;  point.n.1 	Mike Wheeler	5.0	3.0
61.5	1.5	41	boy.n.1; girl.n.1; bed.n.1; waffle.n.1	talk.n.1; eat.n.1; point.n.1 	Mike Wheeler; Eleven 	5.0	3.0
63.0	1.5	42	girl.n.1; waffle.n.1	talk.n.1; eat.n.1; look.n.1 	Eleven 	5.0	3.0
64.5	1.5	43	boy.n.1; girl.n.1; bed.n.1; waffle.n.1	talk.n.1; eat.n.1; look.n.1 	Mike Wheeler; Eleven 	5.0	3.0
66.0	1.5	44	boy.n.1	talk.n.1; look.n.1 	Mike Wheeler	5.0	3.0
67.5	1.5	45	boy.n.1	talk.n.1;  point.n.1; look.n.1  	Mike Wheeler	5.0	3.0
69.0	1.5	46	boy.n.1	talk.n.1;  point.n.1; look.n.1  	Mike Wheeler	5.0	3.0
70.5	1.5	47	boy.n.1	talk.n.1;  look.n.1  	Mike Wheeler	5.0	3.0
