onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	bed.n.01; blanket.n.01; pillow.n.01; telephone.n.01; teddy bear.n.01; watch.n.01	speak.v.01; blink.v.01; lie down.v.01	Nancy Wheeler	1	1
4.5	1.5	3	bed.n.01; blanket.n.01; pillow.n.01; telephone.n.01; teddy bear.n.01; watch.n.01	speak.v.01; blink.v.01; lie down.v.01	Nancy Wheeler	1	1
6.0	1.5	4	bed.n.01; blanket.n.01; pillow.n.01; telephone.n.01; teddy bear.n.01; watch.n.01	speak.v.01; blink.v.01; lie down.v.01	Nancy Wheeler	1	1
7.5	1.5	5	bed.n.01; blanket.n.01; pillow.n.01; telephone.n.01; teddy bear.n.01; watch.n.01; window.n.01; curtain.n.01; picture.n.01	speak.v.01; blink.v.01; lie down.v.01; sit up.v.02	Nancy Wheeler	1	1
9.0	1.5	6	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02	Nancy Wheeler	1	1
10.5	1.5	7	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02	Nancy Wheeler	1	1
12.0	1.5	8	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02; blink.v.01	Nancy Wheeler	1	1
13.5	1.5	9	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02; blink.v.01	Nancy Wheeler	1	1
15.0	1.5	10	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02; blink.v.01	Nancy Wheeler	1	1
16.5	1.5	11	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02; blink.v.01; shout.v.01; put aside.v.02	Nancy Wheeler	1	1
18.0	1.5	12	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02; blink.v.01; shout.v.01; hold.v.02	Nancy Wheeler	1	1
19.5	1.5	13	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02	speak.v.01; sit up.v.02; blink.v.01; hold.v.02	Nancy Wheeler	1	1
21.0	1.5	14	watch.n.01; window.n.01; curtain.n.01; telephone.n.01; lamp.n.02; book.n.01; pen.n.01; table.n.02; plate.n.04; cabinet.n.01; chairs.n.01	speak.v.01; sit.v.01	Nancy Wheeler	1	1
22.5	1.5	15	cabinet.n.01; table.n.02; plate.n.04; chairs.n.01; window.n.01; curtain.n.01; plant.n.01; chandelier.n.01; lamp.n.02; silverware.n.01; cups.n.01	sit.v.01; eat.v.01	Nancy Wheeler; Mike Wheeler; Dustin Henderson; Lucas Sinclair; Mr. Wheeler;  Mrs. Wheeler; Baby Holly	1	1
24.0	1.5	16	cabinet.n.01; table.n.02; plate.n.04; chairs.n.01; window.n.01; curtain.n.01; plant.n.01; chandelier.n.01; lamp.n.02; silverware.n.01; cups.n.01; bowl.n.01; napkins.n.01	sit.v.01; eat.v.01	Nancy Wheeler; Mike Wheeler; Dustin Henderson; Lucas Sinclair; Mr. Wheeler;  Mrs. Wheeler; Baby Holly	1	1
