onset	duration	sample	nouns	verbs	characters	valence	arousal
3.0	1.5	2	toaster.n.02 , waffle.n.01 , jacket.n.01 , hand.n.01 , plate.n.04, person.n.02	appear.v.02 , pop.v.13 , reach out.v.01	n/a	5	3
4.5	1.5	3	toaster.n.02 , waffle.n.01 , jacket.n.01 ,  boy.n.01, home.n.01 ,  	appear.v.02 , pop.v.13 , reach out.v.01, sneak.v.02	Mike Wheeler	5	3
6.0	1.5	4	toaster.n.02 , waffle.n.01 , jacket.n.01 ,  boy.n.01, home.n.01 ,  	 sneak.v.03 , hide.v.01	Mike Wheeler	5	3
7.5	1.5	5	toaster.n.02 , waffle.n.01 , jacket.n.01 ,  boy.n.01, home.n.01 ,  	 reach out.v.01, place.v.01	Mike Wheeler	5	3
9.0	1.5	6	waffle.n.01 ,  boy.n.01, toddler.n.01 , woman.n.01	eat.v.01 , rush.v.01	Mike Wheeler, Nancy Wheeler 	5	3
10.5	1.5	7	waffle.n.01 ,  boy.n.01, woman.n.02 , dining room.n.01, fork.n.01, table.n.02	eat.v.01 , rush.v.01, stare.v.01	Mike Wheeler, Nancy Wheeler 	5	4
12.0	1.5	8	waffle.n.01 ,  boy.n.01 , woman.n.02 , dining room.n.01, fork.n.01 , table.n.02	eat.v.01 , rush.v.01, stare.v.02, wonder.v.02	Mike Wheeler, Nancy Wheeler 	5	4
13.5	1.5	9	waffle.n.01 ,  boy.n.01 , woman.n.02 , dining room.n.01, fork.n.01 , table.n.02	eat.v.01 , rush.v.01, stare.v.02, wonder.v.02	Mike Wheeler, Nancy Wheeler 	5	4
15.0	1.5	10	waffle.n.01 ,  boy.n.01 , woman.n.02 , dining room.n.01, fork.n.01, table.n.02	eat.v.01 , rush.v.01, speak.v.01, remark.v.01	Mike Wheeler, Nancy Wheeler 	4	3
16.5	1.5	11	 boy.n.01 , woman.n.02 , dining room.n.01, fork.n.01, table.n.02, chair.n.01	eat.v.01 , speak.v.01 , stare.v.01	Mike Wheeler	5	3
18.0	1.5	12	 boy.n.01 , woman.n.02 , dining room.n.01, chair.n.01	 speak.v.01 , question.v.01 	Mike Wheeler, Nancy Wheeler 	5	4
19.5	1.5	13	 boy.n.01 , woman.n.02 , dining room.n.01 , chair.n.01	worry.v.01	Mike Wheeler, Nancy Wheeler 	6	4
21.0	1.5	14	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01 , chair.n.01	reply.v.01	Nancy Wheeler 	6	4
22.5	1.5	15	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01, chair.n.01	question.v.01, anger.v.01	Mike Wheeler	6	4
24.0	1.5	16	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01, chair.n.01	question.v.01, anger.v.01	Mike Wheeler, Nancy Wheeler 	6	4
25.5	1.5	17	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01, shoe.n.01, rug.n.01 , leg.n.01, leg.n.03 , chair.n.01 	kick.v.01	Mike Wheeler, Nancy Wheeler 	4	5
27.0	1.5	18	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01, shoe.n.01, rug.n.01 , leg.n.01, leg.n.03 , chair.n.01 , mother.n. 01	kick.v.01 , anger.v.01 , question.n.01	Mike Wheeler, Nancy Wheeler 	4	6
28.5	1.5	19	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01,  chair.n.01 , mother.n. 01 , newspaper.n.01 , curtain.n.01, plant.n.02 , breakfast.n.01	turn around.v.01 , worry.v.01	Mike Wheeler, Nancy Wheeler 	4	6
30.0	1.5	20	 boy.n.01 , woman.n.02 , dining room.n.01 , fork.n.01,  chair.n.01 , newspaper.n.01 , curtain.n.01, plant.n.02 , breakfast.n.01	reply.v.01 , worry.v.01	Mike Wheeler, Nancy Wheeler 	5	5
