onset	duration	trial_type	response_time	tap_count	tap_duration	stimulus
6.02	3.52	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
13.44	3.71	motor	1.13	6	2.45	n/a
21.47	3.21	motor/auditory	1.33	6	1.63	audio/Shenzhen_Nightlife.wav
28.1	2.06	visual	n/a	0	n/a	n/a
33.69	2.71	motor/auditory	0.55	8	2.73	audio/Stereotype_News.wav
39.32	3.71	motor	0.87	10	3.3	n/a
46.44	2.46	visual	n/a	0	n/a	n/a
52.52	3.9	visual/auditory	n/a	0	n/a	audio/Desert_Conflict.wav
62.42	0.61	motor	0.47	3	0.95	n/a
67.34	3.01	motor/auditory	0.5	10	2.65	audio/Ukulele_Song.wav
74.27	3.71	visual	n/a	0	n/a	n/a
82.1	2.5	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
90.72	1.01	motor/auditory	0.87	2	0.22	audio/Le_Baguette.wav
94.64	2.91	visual	n/a	0	n/a	n/a
101.65	3.41	motor	0.72	10	3.05	n/a
109.47	0.81	visual/auditory	n/a	0	n/a	audio/Cumbish.wav
116.4	3.61	motor/auditory	0.85	10	3.25	audio/Bleu.wav
124.22	3.06	visual/auditory	n/a	0	n/a	audio/Cumbish.wav
132.0	1.81	motor	0.68	4	1.03	n/a
138.14	2.68	visual	n/a	0	n/a	n/a
145.54	0.65	visual/auditory	n/a	0	n/a	audio/Bleu.wav
148.89	2.28	visual	n/a	0	n/a	n/a
156.37	3.31	motor	0.6	8	2.77	n/a
165.39	2.11	motor/auditory	0.88	5	1.33	audio/Jack_The_Lumberer.wav
173.82	2.51	motor	0.5	8	2.42	n/a
179.84	3.51	motor/auditory	0.71	8	2.68	audio/Bollywood_Groove.wav
190.26	3.91	visual/auditory	n/a	0	n/a	audio/Improv_for_Evil.wav
200.67	2.66	visual	n/a	0	n/a	n/a
208.74	1.71	motor/auditory	0.61	4	1.08	audio/Breaking_Bollywood.wav
216.37	2.08	visual/auditory	n/a	0	n/a	audio/Breaking_Bollywood.wav
224.67	1.31	motor	0.48	5	1.43	n/a
233.99	2.9	visual	n/a	0	n/a	n/a
243.01	3.71	motor/auditory	0.6	7	3.08	audio/Le_Baguette.wav
252.54	2.11	motor	0.88	5	1.47	n/a
260.66	1.01	visual/auditory	n/a	0	n/a	audio/Improv_for_Evil.wav
266.39	2.71	visual	n/a	0	n/a	n/a
273.32	3.41	motor	0.73	9	2.7	n/a
283.14	1.71	motor/auditory	0.73	6	1.53	audio/Jack_The_Lumberer.wav
290.36	3.48	visual/auditory	n/a	0	n/a	audio/Desert_Conflict.wav
299.84	3.08	visual	n/a	0	n/a	n/a
306.74	2.31	motor	0.6	6	1.63	n/a
312.56	2.46	visual	n/a	0	n/a	n/a
317.62	3.11	motor/auditory	0.78	10	2.72	audio/Improv_for_Evil.wav
326.94	0.83	visual/auditory	n/a	0	n/a	audio/Funshine.wav
332.77	2.31	motor	0.95	8	1.65	n/a
338.59	1.26	visual	n/a	0	n/a	n/a
345.06	2.01	motor/auditory	0.55	8	1.78	audio/Le_Baguette.wav
353.69	1.46	visual/auditory	n/a	0	n/a	audio/Breaking_Bollywood.wav
360.86	2.91	visual	n/a	0	n/a	n/a
367.28	3.21	motor	0.7	12	2.85	n/a
374.81	3.61	motor/auditory	0.91	11	3.08	audio/Desert_Conflict.wav
383.74	3.73	visual/auditory	n/a	0	n/a	audio/Stereotype_News.wav
391.19	2.91	motor	0.66	10	2.17	n/a
398.61	2.65	visual	n/a	0	n/a	n/a
404.46	3.1	visual/auditory	n/a	0	n/a	audio/Ukulele_Song.wav
411.56	2.51	motor/auditory	0.85	7	1.9	audio/Coy_Koi.wav
417.48	1.21	motor	0.7	4	0.85	n/a
422.29	2.65	visual	n/a	0	n/a	n/a
429.44	1.51	motor/auditory	0.76	4	0.85	audio/Shenzhen_Nightlife.wav
436.76	1.43	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
