onset	duration	trial_type	response_time	tap_count	tap_duration	stimulus
6.0	1.52	motor	1.17	12	1.17	n/a
12.22	2.21	motor/auditory	0.66	18	1.67	audio/Shenzhen_Nightlife.wav
20.24	1.46	visual	n/a	0	n/a	n/a
25.52	3.48	visual/auditory	n/a	0	n/a	audio/Cumbish.wav
33.32	3.31	motor/auditory	0.5	26	3.17	audio/Breaking_Bollywood.wav
40.64	2.91	motor	0.7	25	2.6	n/a
48.55	1.86	visual/auditory	n/a	0	n/a	audio/Funshine.wav
54.84	3.93	visual	n/a	0	n/a	n/a
64.59	3.11	motor	0.63	19	2.67	n/a
71.4	0.81	motor/auditory	0.51	8	0.77	audio/Ukulele_Song.wav
76.92	1.06	visual	n/a	0	n/a	n/a
81.49	3.55	visual/auditory	n/a	0	n/a	audio/Ukulele_Song.wav
88.94	3.51	motor/auditory	0.56	19	3.4	audio/Cumbish.wav
96.27	2.3	visual	n/a	0	n/a	n/a
102.19	1.68	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
107.57	3.01	motor	0.45	21	2.8	n/a
115.89	3.91	motor/auditory	0.75	32	3.37	audio/Shenzhen_Nightlife.wav
124.41	3.11	visual	n/a	0	n/a	n/a
131.52	3.31	motor	0.58	23	2.98	n/a
137.45	2.86	visual/auditory	n/a	0	n/a	audio/Bleu.wav
145.44	0.61	motor/auditory	0.58	7	0.8	audio/Stereotype_News.wav
149.97	3.91	motor	0.61	19	3.6	n/a
159.5	1.85	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
165.05	1.25	visual	n/a	0	n/a	n/a
170.92	2.28	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
177.31	2.11	motor/auditory	0.48	16	1.87	audio/Improv_for_Evil.wav
183.42	3.75	visual	n/a	0	n/a	n/a
193.87	2.71	motor	0.63	16	2.22	n/a
199.99	3.3	visual	n/a	0	n/a	n/a
208.61	3.53	visual/auditory	n/a	0	n/a	audio/Bleu.wav
215.96	2.01	motor/auditory	0.58	12	1.6	audio/Ukulele_Song.wav
224.89	2.41	motor	0.67	18	2.08	n/a
230.62	1.31	motor/auditory	0.65	10	0.98	audio/Ambush_in_Rattlesnake_Gulch.wav
235.74	0.81	motor	0.8	4	0.25	n/a
242.26	3.96	visual/auditory	n/a	0	n/a	audio/Ambush_in_Rattlesnake_Gulch.wav
253.64	0.83	visual	n/a	0	n/a	n/a
259.67	1.68	visual/auditory	n/a	0	n/a	audio/Stereotype_News.wav
266.57	2.81	motor/auditory	0.7	21	2.42	audio/Bollywood_Groove.wav
275.39	3.71	motor	0.66	28	3.17	n/a
283.61	3.68	visual	n/a	0	n/a	n/a
291.61	3.81	motor/auditory	0.63	36	3.65	audio/Funshine.wav
299.42	2.21	motor	0.6	22	2.07	n/a
306.86	3.3	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
313.17	2.88	visual	n/a	0	n/a	n/a
322.77	0.51	motor	0.53	3	0.22	n/a
327.49	0.91	motor/auditory	0.56	8	0.65	audio/Shenzhen_Nightlife.wav
331.81	2.93	visual	n/a	0	n/a	n/a
340.56	3.08	visual/auditory	n/a	0	n/a	audio/Desert_Conflict.wav
348.76	2.51	visual	n/a	0	n/a	n/a
358.59	2.01	motor/auditory	0.65	14	1.72	audio/Desert_Conflict.wav
368.43	3.11	motor	0.66	25	2.7	n/a
373.74	3.31	visual/auditory	n/a	0	n/a	audio/Jack_The_Lumberer.wav
381.98	1.51	motor	0.6	10	1.17	n/a
387.71	3.71	visual	n/a	0	n/a	n/a
396.13	2.68	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
402.93	1.91	motor/auditory	0.56	16	1.58	audio/Funshine.wav
410.74	3.21	motor	0.58	22	2.95	n/a
418.86	3.71	motor/auditory	0.61	32	3.3	audio/Le_Baguette.wav
430.19	2.25	visual/auditory	n/a	0	n/a	audio/Cumbish.wav
437.16	1.46	visual	n/a	0	n/a	n/a
