onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.08	2.0	math	correct	-8	2.92	11.7	word	numeric	0.49	17.84	informative	24	divide	3	1.47	-9	20.0	1.2	numerals\-8_w.png	feedback\positive.png	numerals\24_n.png	numerals\divide_n.png	numerals\20_n.png
21.99	2.09	math	correct	9	2.92	27.9	numeric	numeric	0.49	35.44	informative	29	divide	1	0.8	5	7.0	4.1	numerals\09_n.png	feedback\positive.png	numerals\29_n.png	numerals\divide_n.png	numerals\07_n.png
38.99	1.31	math	correct	15	1.7	44.0	numeric	numeric	0.51	49.83	informative	14	subtract	1	0.87	9	8.0	6.0	numerals\15_n.png	feedback\positive.png	numerals\14_n.png	numerals\subtract_n.png	numerals\08_n.png
55.73	1.61	math	correct	44	1.02	61.93	numeric	word	0.51	66.96	informative	15	add	1	0.85	1	28.0	43.0	numerals\44_n.png	feedback\positive.png	numerals\15_w.png	numerals\add_w.png	numerals\28_w.png
73.31	2.21	math	correct	70	2.4	80.72	numeric	numeric	0.51	88.54	informative	8	multiply	3	0.8	-2	9.0	72.0	numerals\70_n.png	feedback\positive.png	numerals\08_n.png	numerals\multiply_n.png	numerals\09_n.png
94.85	2.8	math	correct	2	1.8	102.67	word	word	0.5	108.6	noninformative	24	divide	1	0.62	1	18.0	1.3	numerals\02_w.png	feedback\noninformative.png	numerals\24_w.png	numerals\divide_w.png	numerals\18_w.png
114.66	2.51	baseline	correct	18	1.1	120.97	numeric	word	0.52	127.23	noninformative	19	n/a	3	0.82	-1	n/a	19.0	numerals\18_n.png	feedback\noninformative.png	numerals\19_w.png	n/a	n/a
133.32	1.52	baseline	correct	19	1.1	139.85	numeric	word	0.51	145.22	noninformative	21	n/a	3	0.67	-2	n/a	21.0	numerals\19_n.png	feedback\noninformative.png	numerals\21_w.png	n/a	n/a
149.42	2.21	math	correct	-5	1.3	157.35	word	numeric	0.51	163.29	informative	4	subtract	3	1.03	-1	8.0	-4.0	numerals\-5_w.png	feedback\positive.png	numerals\04_n.png	numerals\subtract_n.png	numerals\08_n.png
167.78	1.11	math	correct	81	1.82	173.19	word	numeric	0.49	180.01	informative	20	multiply	1	1.17	1	4.0	80.0	numerals\81_w.png	feedback\positive.png	numerals\20_n.png	numerals\multiply_n.png	numerals\04_n.png
186.93	1.7	baseline	correct	0	2.92	193.35	word	numeric	0.49	201.69	noninformative	6	n/a	3	0.93	-6	n/a	6.0	numerals\00_w.png	feedback\noninformative.png	numerals\06_n.png	n/a	n/a
205.25	1.8	math	incorrect	36	1.02	209.77	numeric	word	0.49	215.54	noninformative	15	add	2	0.77	10	11.0	26.0	numerals\36_n.png	feedback\noninformative.png	numerals\15_w.png	numerals\add_w.png	numerals\11_w.png
219.68	2.1	baseline	correct	28	1.0	227.29	word	numeric	0.52	233.95	noninformative	26	n/a	1	0.08	2	n/a	26.0	numerals\28_w.png	feedback\noninformative.png	numerals\26_n.png	n/a	n/a
238.05	1.9	math	correct	20	2.22	245.17	numeric	word	0.51	252.63	informative	20	subtract	1	0.72	4	4.0	16.0	numerals\20_n.png	feedback\positive.png	numerals\20_w.png	numerals\subtract_w.png	numerals\04_w.png
259.49	2.3	math	correct	14	1.9	264.6	word	numeric	0.51	272.94	noninformative	17	add	3	0.77	-4	1.0	18.0	numerals\14_w.png	feedback\noninformative.png	numerals\17_n.png	numerals\add_n.png	numerals\01_n.png
277.09	1.91	baseline	correct	17	1.8	283.6	numeric	numeric	0.52	290.07	noninformative	18	n/a	3	0.75	-1	n/a	18.0	numerals\17_n.png	feedback\noninformative.png	numerals\18_n.png	n/a	n/a
296.09	1.51	math	correct	26	1.42	301.5	word	word	0.51	306.06	informative	5	add	1	0.92	4	17.0	22.0	numerals\26_w.png	feedback\positive.png	numerals\05_w.png	numerals\add_w.png	numerals\17_w.png
311.75	1.32	math	correct	2	2.4	318.27	numeric	word	0.49	324.68	informative	6	divide	2	0.42	0	3.0	2.0	numerals\02_n.png	feedback\positive.png	numerals\06_w.png	numerals\divide_w.png	numerals\03_w.png
330.53	3.02	baseline	correct	21	2.7	339.26	numeric	word	0.51	346.15	noninformative	28	n/a	3	0.7	-7	n/a	28.0	numerals\21_n.png	feedback\noninformative.png	numerals\28_w.png	n/a	n/a
