onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.07	1.4	math	correct	2	1.4	11.48	word	numeric	0.5	16.61	informative	29	divide	1	1.17	1	29.0	1.0	numerals\02_w.png	feedback\positive.png	numerals\29_n.png	numerals\divide_n.png	numerals\29_n.png
24.43	1.12	math	correct	64	2.3	29.35	word	numeric	0.51	35.08	noninformative	13	multiply	3	1.35	-1	5.0	65.0	numerals\64_w.png	feedback\noninformative.png	numerals\13_n.png	numerals\multiply_n.png	numerals\05_n.png
39.33	2.3	math	incorrect	143	1.52	44.75	word	word	0.52	51.23	noninformative	18	multiply	1	0.18	-1	8.0	144.0	numerals\143_w.png	feedback\noninformative.png	numerals\18_w.png	numerals\multiply_w.png	numerals\08_w.png
59.62	2.51	baseline	correct	-4	2.1	66.53	word	word	0.5	73.1	noninformative	3	n/a	3	1.65	-7	n/a	3.0	numerals\-4_w.png	feedback\noninformative.png	numerals\03_w.png	n/a	n/a
80.66	1.51	baseline	correct	18	3.02	84.58	numeric	word	0.51	92.64	informative	17	n/a	1	1.02	1	n/a	17.0	numerals\18_n.png	feedback\positive.png	numerals\17_w.png	n/a	n/a
98.34	1.71	baseline	correct	17	1.6	104.27	word	word	0.51	108.98	informative	15	n/a	1	0.85	2	n/a	15.0	numerals\17_w.png	feedback\positive.png	numerals\15_w.png	n/a	n/a
113.14	2.71	baseline	correct	18	2.3	120.57	numeric	word	0.52	127.28	informative	17	n/a	1	0.67	1	n/a	17.0	numerals\18_n.png	feedback\positive.png	numerals\17_w.png	n/a	n/a
133.06	2.31	math	correct	12	2.0	139.58	numeric	numeric	0.51	144.91	informative	23	subtract	1	0.5	3	14.0	9.0	numerals\12_n.png	feedback\positive.png	numerals\23_n.png	numerals\subtract_n.png	numerals\14_n.png
151.73	2.51	math	correct	21	2.4	160.15	word	word	0.5	165.8	noninformative	18	subtract	1	0.93	4	1.0	17.0	numerals\21_w.png	feedback\noninformative.png	numerals\18_w.png	numerals\subtract_w.png	numerals\01_w.png
169.27	1.6	math	correct	40	1.0	174.87	word	numeric	0.52	182.23	noninformative	23	add	1	0.68	1	16.0	39.0	numerals\40_w.png	feedback\noninformative.png	numerals\23_n.png	numerals\add_n.png	numerals\16_n.png
187.51	2.29	math	correct	24	1.6	193.72	numeric	word	0.52	199.46	informative	4	add	3	0.55	-10	30.0	34.0	numerals\24_n.png	feedback\positive.png	numerals\04_w.png	numerals\add_w.png	numerals\30_w.png
204.83	2.42	baseline	correct	10	2.1	211.17	numeric	word	0.5	220.45	noninformative	12	n/a	3	0.85	-2	n/a	12.0	numerals\10_n.png	feedback\noninformative.png	numerals\12_w.png	n/a	n/a
224.32	2.71	math	correct	5	2.62	233.35	numeric	numeric	0.51	239.61	informative	26	divide	1	0.77	1	6.0	4.3	numerals\05_n.png	feedback\positive.png	numerals\26_n.png	numerals\divide_n.png	numerals\06_n.png
246.22	2.4	math	correct	151	2.12	253.02	word	numeric	0.51	260.05	informative	20	multiply	3	1.57	-9	8.0	160.0	numerals\151_w.png	feedback\positive.png	numerals\20_n.png	numerals\multiply_n.png	numerals\08_n.png
263.6	2.71	baseline	correct	4	1.0	269.92	numeric	word	0.51	274.68	noninformative	2	n/a	1	0.75	2	n/a	2.0	numerals\04_n.png	feedback\noninformative.png	numerals\02_w.png	n/a	n/a
277.97	1.2	math	correct	37	1.6	285.27	word	numeric	0.51	291.63	noninformative	27	add	2	0.95	0	10.0	37.0	numerals\37_w.png	feedback\noninformative.png	numerals\27_n.png	numerals\add_n.png	numerals\10_n.png
299.26	2.61	math	correct	2	1.4	308.89	word	word	0.49	315.68	noninformative	24	divide	3	1.27	-1	7.0	3.4	numerals\02_w.png	feedback\noninformative.png	numerals\24_w.png	numerals\divide_w.png	numerals\07_w.png
321.13	2.81	math	correct	5	2.42	329.04	word	numeric	0.51	336.08	informative	3	multiply	3	0.9	-1	2.0	6.0	numerals\05_w.png	feedback\positive.png	numerals\03_n.png	numerals\multiply_n.png	numerals\02_n.png
342.56	1.01	math	correct	20	1.2	346.67	numeric	numeric	0.5	354.2	noninformative	30	subtract	3	0.8	-6	4.0	26.0	numerals\20_n.png	feedback\noninformative.png	numerals\30_n.png	numerals\subtract_n.png	numerals\04_n.png
358.39	1.41	math	correct	28	1.62	363.2	numeric	word	0.52	370.47	noninformative	3	add	3	0.82	-1	26.0	29.0	numerals\28_n.png	feedback\noninformative.png	numerals\03_w.png	numerals\add_w.png	numerals\26_w.png
374.34	2.01	math	correct	8	2.92	382.15	numeric	numeric	0.49	387.8	informative	18	divide	1	0.75	3	4.0	4.5	numerals\08_n.png	feedback\positive.png	numerals\18_n.png	numerals\divide_n.png	numerals\04_n.png
393.04	3.0	baseline	correct	10	2.7	400.46	word	word	0.51	406.08	informative	7	n/a	1	0.8	3	n/a	7.0	numerals\10_w.png	feedback\positive.png	numerals\07_w.png	n/a	n/a
411.54	2.6	math	correct	-11	1.42	417.74	numeric	numeric	0.51	424.87	informative	19	subtract	3	0.7	-1	29.0	-10.0	numerals\-11_n.png	feedback\positive.png	numerals\19_n.png	numerals\subtract_n.png	numerals\29_n.png
430.29	2.29	baseline	correct	3	2.12	436.11	numeric	numeric	0.51	442.43	noninformative	1	n/a	1	0.83	2	n/a	1.0	numerals\03_n.png	feedback\noninformative.png	numerals\01_n.png	n/a	n/a
