onset	duration	trial_type	valence	stimulus	response	response_time
2.029	5	VIEW	Negative	stimuli/5970.jpg	1	0.5710000000000001
12.976	5	VIEW	Negative	stimuli/6830.jpg	2	0.337
23.923	5	VIEW	Neutral	stimuli/rack.bmp	3	0.81
34.856	5	VIEW	Negative	stimuli/9421.jpg	1	0.723
46.069	5	BETTER	Negative	stimuli/9912.jpg	2	0.365
56.909	5	VIEW	Neutral	stimuli/glass.bmp	3	0.677
68.083	5	BETTER	Negative	stimuli/1201.jpg	3	0.653
78.923	5	VIEW	Negative	stimuli/9007.jpg	1	0.447
89.736	5	VIEW	Neutral	stimuli/spoon.bmp	3	0.384
100.443	5	BETTER	Negative	stimuli/6211.jpg	2	0.432
111.043	5	VIEW	Neutral	stimuli/plate.bmp	3	1.298
122.51	5	VIEW	Negative	stimuli/3300.jpg	2	0.659
133.123	5	VIEW	Neutral	stimuli/clock.bmp	4	1.182
144.27	5	VIEW	Negative	stimuli/9400.jpg	1	0.471
155.63	5	BETTER	Negative	stimuli/9041.jpg	2	0.319
167.097	5	VIEW	Neutral	stimuli/farmland.bmp	3	0.425
178.097	5	VIEW	Negative	stimuli/6312.jpg	1	0.346
189.471	5	VIEW	Negative	stimuli/2700.jpg	2	0.436
200.137	5	VIEW	Neutral	stimuli/mushroom1.bmp	3	0.8640000000000001
211.351	5	VIEW	Negative	stimuli/6250.jpg	1	0.52
222.764	5	VIEW	Negative	stimuli/7380.jpg	1	0.49
233.804	5	VIEW	Neutral	stimuli/rollingpin.bmp	3	0.625
244.751	5	VIEW	Negative	stimuli/1321.jpg	2	0.469
255.404	5	VIEW	Negative	stimuli/9230.jpg	1	0.396
266.858	5	VIEW	Neutral	stimuli/scarves.bmp	3	0.3989999999999999
278.258	5	VIEW	Negative	stimuli/2691.jpg	2	0.489
289.511	5	VIEW	Negative	stimuli/9270.jpg	2	0.484
300.738	5	VIEW	Neutral	stimuli/lamp.bmp	2	0.52
311.485	5	BETTER	Negative	stimuli/2710.jpg	2	0.562
322.165	5	VIEW	Negative	stimuli/9620.jpg	1	0.914
332.925	5	VIEW	Neutral	stimuli/nature.bmp	3	0.395
344.085	5	VIEW	Negative	stimuli/9530.jpg	2	0.5710000000000001
355.29900000000004	5	BETTER	Negative	stimuli/6571.jpg	2	1.554
365.859	5	VIEW	Neutral	stimuli/filecabinet.bmp	2	0.349
376.925	5	VIEW	Negative	stimuli/9622.jpg	1	0.5720000000000001
387.632	5	BETTER	Negative	stimuli/8230.jpg	2	0.417
398.952	5	VIEW	Neutral	stimuli/hydrant.bmp	3	0.805
409.712	5	BETTER	Negative	stimuli/2490.jpg	2	1.461
421.179	5	BETTER	Negative	stimuli/9432.jpg	4	0.718
432.526	5	VIEW	Neutral	stimuli/truck.bmp	2	0.3989999999999999
