onset	duration	trial_type	valence	stim_file	response	response_time
2.015	5	VIEW	Neutral	stimuli/truck.bmp	2	0.59
12.748	5	VIEW	Negative	stimuli/2700.jpg	2	0.324
23.415	5	BETTER	Negative	stimuli/7380.jpg	2	0.291
34.455	5	VIEW	Neutral	stimuli/nature.bmp	3	0.345
45.615	5	BETTER	Negative	stimuli/6211.jpg	2	0.621
56.216	5	BETTER	Negative	stimuli/9230.jpg	3	0.664
67.669	5	VIEW	Neutral	stimuli/building2.bmp	3	0.658
78.789	5	BETTER	Negative	stimuli/2490.jpg	3	0.647
90.256	5	BETTER	Negative	stimuli/3300.jpg	2	0.372
100.869	5	VIEW	Neutral	stimuli/clock.bmp	4	0.649
112.016	5	VIEW	Negative	stimuli/5970.jpg	1	0.412
122.963	5	BETTER	Negative	stimuli/9041.jpg	2	0.538
134.43	5	VIEW	Neutral	stimuli/stool.bmp	3	0.393
145.403	5	BETTER	Negative	stimuli/9912.jpg	2	0.514
156.243	5	VIEW	Negative	stimuli/2710.jpg	2	0.471
166.923	5	VIEW	Neutral	stimuli/hydrant.bmp	3	0.688
177.683	5	VIEW	Negative	stimuli/9400.jpg	1	0.346
189.043	5	VIEW	Negative	stimuli/6571.jpg	1	0.051
199.604	5	VIEW	Neutral	stimuli/beads.bmp	3	0.436
210.404	5	BETTER	Negative	stimuli/1201.jpg	3	1.008
221.244	5	BETTER	Negative	stimuli/2751.jpg	2	0.657
232.004	5	VIEW	Neutral	stimuli/towel.bmp	3	0.431
243.057	5	BETTER	Negative	stimuli/1321.jpg	3	0.59
253.711	5	VIEW	Negative	stimuli/8230.jpg	1	0.434
265.031	5	VIEW	Neutral	stimuli/fork.bmp	3	0.531
275.804	5	BETTER	Negative	stimuli/9270.jpg	3	0.644
287.031	5	BETTER	Negative	stimuli/2205.jpg	2	0.476
297.818	5	VIEW	Neutral	stimuli/mug.bmp	3	0.425
309.004	5	BETTER	Negative	stimuli/6312.jpg	2	0.324
320.378	5	BETTER	Negative	stimuli/9622.jpg	1	0.303
331.085	5	VIEW	Neutral	stimuli/abstract.bmp	3	0.286
342.405	5	VIEW	Negative	stimuli/9530.jpg	1	0.56
353.618	5	VIEW	Negative	stimuli/2690.jpg	2	0.479
364.818	5	VIEW	Neutral	stimuli/plate.bmp	3	0.565
376.285	5	VIEW	Negative	stimuli/6830.jpg	1	0.544
387.232	5	VIEW	Negative	stimuli/6250.jpg	1	0.356
398.645	5	VIEW	Neutral	stimuli/rack.bmp	3	0.533
409.578	5	BETTER	Negative	stimuli/9432.jpg	4	0.499
420.925	5	BETTER	Negative	stimuli/2691.jpg	3	0.324
432.179	5	VIEW	Neutral	stimuli/lamp.bmp	3	0.585
