onset	duration	trial_type	response_time	tap_count	tap_duration	stimulus
6.02	14.18	visual	n/a	0	n/a	n/a
34.2	14.01	motor/auditory	n/a	0	n/a	audio/Stereotype_News.wav
62.22	14.03	visual/auditory	n/a	0	n/a	audio/Desert_Conflict.wav
90.25	14.01	motor	2.32	73	12.05	n/a
118.27	14.07	visual/auditory	n/a	0	n/a	audio/Le_Baguette.wav
146.34	14.01	motor/auditory	0.73	81	13.5	audio/Bollywood_Groove.wav
174.35	14.07	visual	n/a	0	n/a	n/a
202.42	14.01	motor	0.95	84	13.55	n/a
230.44	14.07	visual/auditory	n/a	0	n/a	audio/Shenzhen_Nightlife.wav
258.51	14.01	motor	0.9	90	14.37	n/a
286.52	14.03	visual	n/a	0	n/a	n/a
314.56	14.01	motor/auditory	0.98	89	13.7	audio/Ambush_in_Rattlesnake_Gulch.wav
342.57	14.06	visual/auditory	n/a	0	n/a	audio/Le_Baguette.wav
370.64	14.01	motor/auditory	0.73	63	13.53	audio/Shenzhen_Nightlife.wav
398.66	14.2	visual	n/a	0	n/a	n/a
426.87	14.01	motor	1.08	76	13.15	n/a
