onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right	feedback	feedback_onset	feedback_duration
8.078	2.5	Training	CD	1	C	C	1.337	stimuli/6.jpeg	stimuli/3.jpeg	C	D	correct	10.578	1
14.777999999999999	2.5	Training	CD	2	C	C	0.7120000000000001	stimuli/3.jpeg	stimuli/6.jpeg	D	C	correct	17.278	1
19.878	2.5	Training	EF	3	E	F	1.158	stimuli/4.jpeg	stimuli/1.jpeg	F	E	wrong	22.378	1
26.378	2.5	Training	AB	4	B	A	1.3780000000000001	stimuli/2.jpeg	stimuli/5.jpeg	A	B	wrong	28.878	1
31.878	2.5	Training	EF	5	F	E	0.816	stimuli/1.jpeg	stimuli/4.jpeg	E	F	wrong	34.378	1
37.778	2.5	Training	AB	6	A	B	1.193	stimuli/5.jpeg	stimuli/2.jpeg	B	A	wrong	40.278	1
42.278	2.5	Training	CD	7	C	C	1.531	stimuli/6.jpeg	stimuli/3.jpeg	C	D	correct	44.778	1
48.178000000000004	2.5	Training	CD	8	C	C	1.004	stimuli/3.jpeg	stimuli/6.jpeg	D	C	correct	50.678000000000004	1
54.878	2.5	Training	CD	9	C	C	0.68	stimuli/6.jpeg	stimuli/3.jpeg	C	D	correct	57.378	1
59.378	2.5	Training	AB	10	A	B	0.893	stimuli/2.jpeg	stimuli/5.jpeg	A	B	wrong	61.878	1
65.87899999999999	2.5	Training	EF	11	E	E	1.4369999999999998	stimuli/1.jpeg	stimuli/4.jpeg	E	F	correct	68.37899999999999	1
71.37899999999999	2.5	Training	EF	12	E	E	1.367	stimuli/1.jpeg	stimuli/4.jpeg	E	F	correct	73.87899999999999	1
76.479	2.5	Training	CD	13	D	C	1.641	stimuli/3.jpeg	stimuli/6.jpeg	D	C	wrong	78.979	1
82.979	2.5	Training	EF	14	E	E	1.048	stimuli/4.jpeg	stimuli/1.jpeg	F	E	correct	85.479	1
