onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right	feedback	feedback_onset	feedback_duration
8.088	2.5	Training	AB	1	B	B	1.504	stimuli/4.jpeg	stimuli/5.jpeg	A	B	correct	10.588	1
13.988	2.5	Training	EF	2	F	E	1.284	stimuli/2.jpeg	stimuli/6.jpeg	E	F	wrong	16.488	1
19.088	2.5	Training	CD	3	D	D	1.122	stimuli/3.jpeg	stimuli/1.jpeg	D	C	correct	21.588	1
23.588	2.5	Training	AB	4	A	B	0.638	stimuli/4.jpeg	stimuli/5.jpeg	A	B	wrong	26.088	1
30.088	2.5	Training	AB	5	B	B	1.107	stimuli/4.jpeg	stimuli/5.jpeg	A	B	correct	32.588	1
35.588	2.5	Training	AB	6	B	B	1.056	stimuli/5.jpeg	stimuli/4.jpeg	B	A	correct	38.088	1
42.288999999999994	2.5	Training	EF	7	F	F	1.1640000000000001	stimuli/6.jpeg	stimuli/2.jpeg	F	E	correct	44.788999999999994	1
48.18899999999999	2.5	Training	EF	8	E	F	0.612	stimuli/6.jpeg	stimuli/2.jpeg	F	E	wrong	50.68899999999999	1
53.288999999999994	2.5	Training	EF	9	E	F	0.7170000000000001	stimuli/2.jpeg	stimuli/6.jpeg	E	F	wrong	55.788999999999994	1
59.989	2.5	Training	EF	10	E	E	0.807	stimuli/2.jpeg	stimuli/6.jpeg	E	F	correct	62.489	1
65.48899999999999	2.5	Training	CD	11	D	C	1.101	stimuli/1.jpeg	stimuli/3.jpeg	C	D	wrong	67.98899999999999	1
71.98899999999999	2.5	Training	EF	12	E	E	0.995	stimuli/2.jpeg	stimuli/6.jpeg	E	F	correct	74.48899999999999	1
76.48899999999999	2.5	Training	CD	13	C	D	1.1159999999999999	stimuli/3.jpeg	stimuli/1.jpeg	D	C	wrong	78.98899999999999	1
83.189	2.5	Training	AB	14	A	B	0.652	stimuli/4.jpeg	stimuli/5.jpeg	A	B	wrong	85.689	1
89.689	2.5	Training	EF	15	F	E	0.9229999999999999	stimuli/2.jpeg	stimuli/6.jpeg	E	F	wrong	92.189	1
95.589	2.5	Training	CD	16	C	D	0.802	stimuli/3.jpeg	stimuli/1.jpeg	D	C	wrong	98.089	1
101.089	2.5	Training	CD	17	C	C	0.662	stimuli/3.jpeg	stimuli/1.jpeg	D	C	correct	103.589	1
106.189	2.5	Training	CD	18	C	C	0.6779999999999999	stimuli/1.jpeg	stimuli/3.jpeg	C	D	correct	108.689	1
110.689	2.5	Training	CD	19	C	C	0.5	stimuli/3.jpeg	stimuli/1.jpeg	D	C	correct	113.189	1
117.189	2.5	Training	EF	20	E	E	1.13	stimuli/2.jpeg	stimuli/6.jpeg	E	F	correct	119.689	1
122.289	2.5	Training	EF	21	F	E	0.897	stimuli/6.jpeg	stimuli/2.jpeg	F	E	wrong	124.789	1
127.789	2.5	Training	EF	22	E	E	0.85	stimuli/6.jpeg	stimuli/2.jpeg	F	E	correct	130.289	1
133.689	2.5	Training	EF	23	F	E	0.8340000000000001	stimuli/2.jpeg	stimuli/6.jpeg	E	F	wrong	136.189	1
140.39	2.5	Training	EF	24	E	E	0.636	stimuli/2.jpeg	stimuli/6.jpeg	E	F	correct	142.89	1
144.89	2.5	Training	EF	25	E	E	0.705	stimuli/2.jpeg	stimuli/6.jpeg	E	F	correct	147.39	1
150.39	2.5	Training	CD	26	C	C	0.7979999999999999	stimuli/1.jpeg	stimuli/3.jpeg	C	D	correct	152.89	1
156.89	2.5	Training	EF	27	E	E	0.899	stimuli/6.jpeg	stimuli/2.jpeg	F	E	correct	159.39	1
