onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.05	1.41	baseline	correct	5	1.02	11.38	numeric	numeric	0.5	19.42	noninformative	7	n/a	3	1.0	-2	n/a	7.0	numerals\05_n.png	feedback\noninformative.png	numerals\07_n.png	n/a	n/a
26.12	1.01	math	correct	13	2.22	33.73	word	numeric	0.51	39.79	informative	5	multiply	3	0.5	-7	4.0	20.0	numerals\13_w.png	feedback\positive.png	numerals\05_n.png	numerals\multiply_n.png	numerals\04_n.png
43.88	2.11	baseline	correct	32	1.2	52.1	word	numeric	0.49	56.51	informative	29	n/a	1	0.5	3	n/a	29.0	numerals\32_w.png	feedback\positive.png	numerals\29_n.png	n/a	n/a
60.61	2.01	baseline	correct	-2	2.62	66.12	word	word	0.52	72.16	informative	1	n/a	3	0.92	-3	n/a	1.0	numerals\-2_w.png	feedback\positive.png	numerals\01_w.png	n/a	n/a
75.37	2.51	math	correct	3	2.8	82.1	numeric	numeric	0.51	89.91	informative	6	subtract	3	1.82	-2	1.0	5.0	numerals\03_n.png	feedback\positive.png	numerals\06_n.png	numerals\subtract_n.png	numerals\01_n.png
95.99	2.21	math	correct	4	2.0	103.2	numeric	numeric	0.51	110.73	informative	22	divide	1	0.58	3	20.0	1.1	numerals\04_n.png	feedback\positive.png	numerals\22_n.png	numerals\divide_n.png	numerals\20_n.png
114.12	1.81	math	correct	19	2.02	121.85	numeric	numeric	0.51	126.99	informative	1	add	1	1.78	5	13.0	14.0	numerals\19_n.png	feedback\positive.png	numerals\01_n.png	numerals\add_n.png	numerals\13_n.png
132.87	2.41	math	correct	32	1.72	143.2	word	numeric	0.52	150.25	noninformative	16	add	2	1.02	0	16.0	32.0	numerals\32_w.png	feedback\noninformative.png	numerals\16_n.png	numerals\add_n.png	numerals\16_n.png
156.88	2.62	baseline	correct	28	2.5	163.0	numeric	word	0.49	170.75	noninformative	27	n/a	1	0.38	1	n/a	27.0	numerals\28_n.png	feedback\noninformative.png	numerals\27_w.png	n/a	n/a
176.21	2.11	math	correct	14	1.4	184.72	word	word	0.51	189.98	noninformative	23	subtract	1	0.35	2	11.0	12.0	numerals\14_w.png	feedback\noninformative.png	numerals\23_w.png	numerals\subtract_w.png	numerals\11_w.png
194.68	1.91	math	correct	7	1.72	201.28	numeric	numeric	0.49	207.36	noninformative	12	subtract	1	0.88	4	9.0	3.0	numerals\07_n.png	feedback\noninformative.png	numerals\12_n.png	numerals\subtract_n.png	numerals\09_n.png
212.95	1.91	math	correct	4	1.62	218.97	numeric	word	0.51	225.23	informative	2	add	1	1.3	1	1.0	3.0	numerals\04_n.png	feedback\positive.png	numerals\02_w.png	numerals\add_w.png	numerals\01_w.png
230.55	1.02	math	correct	21	2.92	237.07	numeric	word	0.51	244.41	informative	9	multiply	1	1.32	3	2.0	18.0	numerals\21_n.png	feedback\positive.png	numerals\09_w.png	numerals\multiply_w.png	numerals\02_w.png
249.46	2.61	baseline	correct	3	3.02	255.17	numeric	word	0.51	262.16	noninformative	10	n/a	3	0.45	-7	n/a	10.0	numerals\03_n.png	feedback\noninformative.png	numerals\10_w.png	n/a	n/a
265.83	1.3	math	correct	7	2.22	272.45	numeric	numeric	0.51	278.89	informative	18	divide	1	1.02	6	17.0	1.1	numerals\07_n.png	feedback\positive.png	numerals\18_n.png	numerals\divide_n.png	numerals\17_n.png
284.92	2.32	math	correct	26	1.72	293.05	word	word	0.5	302.79	noninformative	30	add	3	3.25	-6	2.0	32.0	numerals\26_w.png	feedback\noninformative.png	numerals\30_w.png	numerals\add_w.png	numerals\02_w.png
308.68	2.39	baseline	correct	28	1.4	317.49	word	numeric	0.51	321.21	informative	27	n/a	1	1.28	1	n/a	27.0	numerals\28_w.png	feedback\positive.png	numerals\27_n.png	n/a	n/a
326.53	2.23	math	correct	-1	2.5	332.67	word	word	0.49	341.19	noninformative	24	divide	3	0.43	-2	21.0	1.1	numerals\-1_w.png	feedback\noninformative.png	numerals\24_w.png	numerals\divide_w.png	numerals\21_w.png
347.57	1.12	math	correct	2	2.02	352.4	word	word	0.51	357.24	informative	24	divide	3	1.05	-1	7.0	3.4	numerals\02_w.png	feedback\positive.png	numerals\24_w.png	numerals\divide_w.png	numerals\07_w.png
362.33	2.3	math	correct	33	1.1	368.25	word	numeric	0.51	373.16	noninformative	3	multiply	1	1.4	6	9.0	27.0	numerals\33_w.png	feedback\noninformative.png	numerals\03_n.png	numerals\multiply_n.png	numerals\09_n.png
379.64	1.21	baseline	correct	8	2.92	385.27	word	word	0.51	392.71	informative	7	n/a	1	0.9	1	n/a	7.0	numerals\08_w.png	feedback\positive.png	numerals\07_w.png	n/a	n/a
397.01	1.83	math	correct	53	1.5	403.05	numeric	word	0.49	408.49	noninformative	14	multiply	3	2.58	-3	4.0	56.0	numerals\53_n.png	feedback\noninformative.png	numerals\14_w.png	numerals\multiply_w.png	numerals\04_w.png
413.63	1.39	math	correct	27	2.8	421.74	word	word	0.5	427.52	noninformative	25	subtract	1	2.05	7	5.0	20.0	numerals\27_w.png	feedback\noninformative.png	numerals\25_w.png	numerals\subtract_w.png	numerals\05_w.png
432.68	2.3	baseline	correct	9	1.9	438.89	numeric	numeric	0.52	445.27	noninformative	10	n/a	3	0.57	-1	n/a	10.0	numerals\09_n.png	feedback\noninformative.png	numerals\10_n.png	n/a	n/a
