onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right	feedback	feedback_onset	feedback_duration
8.064	2.5	Training	EF	1	F	F	1.849	stimuli/2.jpeg	stimuli/1.jpeg	E	F	correct	10.565	1
12.565	2.5	Training	EF	2	E	F	0.491	stimuli/2.jpeg	stimuli/1.jpeg	E	F	wrong	15.065	1
19.065	2.5	Training	AB	3	A	B	0.9209999999999999	stimuli/4.jpeg	stimuli/3.jpeg	B	A	wrong	21.565	1
24.165	2.5	Training	CD	4	C	D	0.745	stimuli/6.jpeg	stimuli/5.jpeg	C	D	wrong	26.665	1
30.065	2.5	Training	CD	5	C	D	1.035	stimuli/5.jpeg	stimuli/6.jpeg	D	C	wrong	32.565	1
36.765	2.5	Training	CD	6	C	C	0.968	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	39.265	1
42.265	2.5	Training	AB	7	A	A	1.0170000000000001	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	44.765	1
48.765	2.5	Training	EF	8	F	F	1.2790000000000001	stimuli/1.jpeg	stimuli/2.jpeg	F	E	correct	51.265	1
53.265	2.5	Training	AB	9	A	A	1.038	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	55.765	1
59.165	2.5	Training	EF	10	E	F	0.5589999999999999	stimuli/1.jpeg	stimuli/2.jpeg	F	E	wrong	61.665	1
65.865	2.5	Training	EF	11	F	F	0.535	stimuli/1.jpeg	stimuli/2.jpeg	F	E	correct	68.365	1
71.365	2.5	Training	EF	12	E	F	0.541	stimuli/1.jpeg	stimuli/2.jpeg	F	E	wrong	73.865	1
76.465	2.5	Training	CD	13	C	C	0.861	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	78.965	1
82.965	2.5	Training	CD	14	D	C	1.021	stimuli/5.jpeg	stimuli/6.jpeg	D	C	wrong	85.465	1
88.065	2.5	Training	EF	15	E	F	0.7170000000000001	stimuli/1.jpeg	stimuli/2.jpeg	F	E	wrong	90.565	1
93.965	2.5	Training	EF	16	E	F	0.606	stimuli/2.jpeg	stimuli/1.jpeg	E	F	wrong	96.465	1
99.465	2.5	Training	AB	17	A	A	1.166	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	101.965	1
106.165	2.5	Training	AB	18	A	A	0.65	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	108.665	1
110.665	2.5	Training	AB	19	A	A	0.7959999999999999	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	113.165	1
117.365	2.5	Training	AB	20	B	A	0.65	stimuli/4.jpeg	stimuli/3.jpeg	B	A	wrong	119.865	1
122.865	2.5	Training	EF	21	F	F	0.653	stimuli/2.jpeg	stimuli/1.jpeg	E	F	correct	125.365	1
128.765	2.5	Training	EF	22	E	F	0.9440000000000001	stimuli/1.jpeg	stimuli/2.jpeg	F	E	wrong	131.266	1
133.266	2.5	Training	EF	23	E	F	1.192	stimuli/1.jpeg	stimuli/2.jpeg	F	E	wrong	135.766	1
138.366	2.5	Training	AB	24	B	A	0.867	stimuli/3.jpeg	stimuli/4.jpeg	A	B	wrong	140.866	1
144.866	2.5	Training	AB	25	A	A	0.855	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	147.366	1
149.966	2.5	Training	EF	26	E	F	0.581	stimuli/2.jpeg	stimuli/1.jpeg	E	F	wrong	152.466	1
156.466	2.5	Training	CD	27	C	C	1.521	stimuli/5.jpeg	stimuli/6.jpeg	D	C	correct	158.966	1
161.966	2.5	Training	AB	28	A	A	0.985	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	164.46599999999998	1
167.86599999999999	2.5	Training	AB	29	A	A	0.772	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	170.36599999999999	1
172.36599999999999	2.5	Training	AB	30	A	A	0.516	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	174.86599999999999	1
179.06599999999997	2.5	Training	AB	31	B	A	0.568	stimuli/4.jpeg	stimuli/3.jpeg	B	A	wrong	181.56599999999997	1
184.56599999999997	2.5	Training	CD	32	C	C	0.8959999999999999	stimuli/5.jpeg	stimuli/6.jpeg	D	C	correct	187.06599999999997	1
190.46599999999998	2.5	Training	CD	33	D	C	0.784	stimuli/6.jpeg	stimuli/5.jpeg	C	D	wrong	192.96599999999998	1
195.56599999999997	2.5	Training	EF	34	F	F	0.514	stimuli/2.jpeg	stimuli/1.jpeg	E	F	correct	198.06599999999997	1
202.06599999999997	2.5	Training	EF	35	F	F	0.583	stimuli/2.jpeg	stimuli/1.jpeg	E	F	correct	204.56599999999997	1
208.766	2.5	Training	CD	36	D	C	1.035	stimuli/6.jpeg	stimuli/5.jpeg	C	D	wrong	211.266	1
213.266	2.5	Training	AB	37	A	A	0.5660000000000001	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	215.766	1
218.766	2.5	Training	AB	38	B	A	0.825	stimuli/3.jpeg	stimuli/4.jpeg	A	B	wrong	221.266	1
223.266	2.5	Training	EF	39	E	F	0.6509999999999999	stimuli/1.jpeg	stimuli/2.jpeg	F	E	wrong	225.766	1
228.36599999999999	2.5	Training	CD	40	D	C	0.8420000000000001	stimuli/5.jpeg	stimuli/6.jpeg	D	C	wrong	230.86599999999999	1
234.86599999999999	2.5	Training	AB	41	A	A	0.903	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	237.36599999999999	1
240.766	2.5	Training	EF	42	F	F	0.527	stimuli/1.jpeg	stimuli/2.jpeg	F	E	correct	243.267	1
247.46599999999998	2.5	Training	EF	43	E	F	0.619	stimuli/2.jpeg	stimuli/1.jpeg	E	F	wrong	249.96599999999998	1
251.967	2.5	Training	CD	44	C	C	0.5760000000000001	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	254.467	1
257.867	2.5	Training	CD	45	C	C	0.5870000000000001	stimuli/5.jpeg	stimuli/6.jpeg	D	C	correct	260.367	1
262.967	2.5	Training	CD	46	C	C	0.6970000000000001	stimuli/5.jpeg	stimuli/6.jpeg	D	C	correct	265.467	1
269.467	2.5	Training	CD	47	C	C	0.61	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	271.967	1
274.967	2.5	Training	EF	48	E	F	0.615	stimuli/2.jpeg	stimuli/1.jpeg	E	F	wrong	277.467	1
281.66700000000003	2.5	Training	AB	49	A	A	0.614	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	284.16700000000003	1
287.567	2.5	Training	AB	50	A	A	0.523	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	290.067	1
292.66700000000003	2.5	Training	EF	51	F	F	0.69	stimuli/1.jpeg	stimuli/2.jpeg	F	E	correct	295.16700000000003	1
299.16700000000003	2.5	Training	CD	52	D	C	0.509	stimuli/5.jpeg	stimuli/6.jpeg	D	C	wrong	301.66700000000003	1
304.66700000000003	2.5	Training	CD	53	C	C	0.67	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	307.16700000000003	1
311.367	2.5	Training	CD	54	C	C	1.556	stimuli/5.jpeg	stimuli/6.jpeg	D	C	correct	313.867	1
315.867	2.5	Training	CD	55	C	C	1.1179999999999999	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	318.367	1
322.367	2.5	Training	AB	56	A	A	0.741	stimuli/4.jpeg	stimuli/3.jpeg	B	A	correct	324.867	1
327.467	2.5	Training	EF	57	E	F	0.599	stimuli/2.jpeg	stimuli/1.jpeg	E	F	wrong	329.967	1
331.967	2.5	Training	AB	58	A	A	0.64	stimuli/3.jpeg	stimuli/4.jpeg	A	B	correct	334.467	1
337.86699999999996	2.5	Training	CD	59	C	C	0.873	stimuli/6.jpeg	stimuli/5.jpeg	C	D	correct	340.36699999999996	1
343.36699999999996	2.5	Training	CD	60	D	C	0.6459999999999999	stimuli/5.jpeg	stimuli/6.jpeg	D	C	wrong	345.86699999999996	1
