onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.11	2.79	math	correct	41	1.32	13.52	numeric	numeric	0.49	18.76	informative	14	add	1	0.38	1	26.0	40.0	numerals\41_n.png	feedback\positive.png	numerals\14_n.png	numerals\add_n.png	numerals\26_n.png
24.98	1.9	math	correct	5	1.32	32.0	numeric	word	0.51	38.67	noninformative	29	subtract	1	0.4	5	29.0	0.0	numerals\05_n.png	feedback\noninformative.png	numerals\29_w.png	numerals\subtract_w.png	numerals\29_w.png
45.29	1.42	math	incorrect	-8	1.0	50.22	numeric	word	0.49	56.98	informative	7	divide	1	0.93	-9	5.0	1.4	numerals\-8_n.png	feedback\negative.png	numerals\07_w.png	numerals\divide_w.png	numerals\05_w.png
63.21	2.51	math	correct	22	1.6	70.53	numeric	numeric	0.49	75.84	informative	19	subtract	1	0.77	10	7.0	12.0	numerals\22_n.png	feedback\positive.png	numerals\19_n.png	numerals\subtract_n.png	numerals\07_n.png
79.83	3.01	baseline	correct	15	1.32	88.23	word	word	0.51	94.56	informative	20	n/a	3	1.2	-5	n/a	20.0	numerals\15_w.png	feedback\positive.png	numerals\20_w.png	n/a	n/a
99.31	2.41	math	correct	22	2.22	106.73	numeric	numeric	0.51	114.46	informative	7	multiply	3	0.57	-6	4.0	28.0	numerals\22_n.png	feedback\positive.png	numerals\07_n.png	numerals\multiply_n.png	numerals\04_n.png
119.85	2.6	baseline	correct	17	2.4	127.85	word	word	0.52	136.18	informative	7	n/a	1	0.78	10	n/a	7.0	numerals\17_w.png	feedback\positive.png	numerals\07_w.png	n/a	n/a
140.79	1.31	math	correct	40	1.5	146.52	word	numeric	0.51	154.36	noninformative	25	add	3	1.0	-3	18.0	43.0	numerals\40_w.png	feedback\noninformative.png	numerals\25_n.png	numerals\add_n.png	numerals\18_n.png
160.34	2.29	math	correct	5	1.6	167.05	numeric	word	0.51	173.89	informative	11	divide	1	1.53	3	5.0	2.2	numerals\05_n.png	feedback\positive.png	numerals\11_w.png	numerals\divide_w.png	numerals\05_w.png
177.02	1.61	math	correct	-7	1.7	182.95	numeric	word	0.52	191.68	noninformative	25	subtract	3	0.47	-8	24.0	1.0	numerals\-7_n.png	feedback\noninformative.png	numerals\25_w.png	numerals\subtract_w.png	numerals\24_w.png
195.47	1.11	math	correct	42	1.9	202.5	word	numeric	0.52	210.27	noninformative	9	multiply	1	1.07	6	4.0	36.0	numerals\42_w.png	feedback\noninformative.png	numerals\09_n.png	numerals\multiply_n.png	numerals\04_n.png
217.09	2.21	math	correct	-5	2.1	223.52	numeric	word	0.5	229.87	noninformative	9	divide	3	0.87	-6	8.0	1.1	numerals\-5_n.png	feedback\noninformative.png	numerals\09_w.png	numerals\divide_w.png	numerals\08_w.png
236.47	2.1	math	incorrect	91	2.6	242.29	numeric	numeric	0.51	249.96	noninformative	24	multiply	1	1.85	-5	4.0	96.0	numerals\91_n.png	feedback\noninformative.png	numerals\24_n.png	numerals\multiply_n.png	numerals\04_n.png
254.86	2.11	baseline	incorrect	18	1.22	259.89	word	numeric	0.5	264.77	noninformative	23	n/a	1	0.68	-5	n/a	23.0	numerals\18_w.png	feedback\noninformative.png	numerals\23_n.png	n/a	n/a
270.34	1.8	math	correct	7	1.32	276.05	numeric	word	0.51	280.53	noninformative	7	divide	2	0.57	0	1.0	7.0	numerals\07_n.png	feedback\noninformative.png	numerals\07_w.png	numerals\divide_w.png	numerals\01_w.png
