onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right	feedback	feedback_onset	feedback_duration
8.075	2.5	Training	CD	1	D	C	1.089	stimuli/3.jpeg	stimuli/4.jpeg	D	C	wrong	10.575	1
13.975	2.5	Training	AB	2	B	A	1.258	stimuli/1.jpeg	stimuli/6.jpeg	A	B	wrong	16.475	1
19.475	2.5	Training	AB	3	A	B	1.3430000000000002	stimuli/1.jpeg	stimuli/6.jpeg	A	B	wrong	21.975	1
23.975	2.5	Training	EF	4	E	F	1.217	stimuli/5.jpeg	stimuli/2.jpeg	E	F	wrong	26.475	1
30.475	2.5	Training	CD	5	C	D	0.9309999999999999	stimuli/4.jpeg	stimuli/3.jpeg	C	D	wrong	32.975	1
37.175	2.5	Training	AB	6	A	B	2.254	stimuli/1.jpeg	stimuli/6.jpeg	A	B	wrong	39.675	1
42.275	2.5	Training	AB	7	A	A	1.598	stimuli/1.jpeg	stimuli/6.jpeg	A	B	correct	44.775	1
47.775	2.5	Training	EF	8	E	E	2.077	stimuli/5.jpeg	stimuli/2.jpeg	E	F	correct	50.275	1
53.675	2.5	Training	EF	9	E	E	2.002	stimuli/2.jpeg	stimuli/5.jpeg	F	E	correct	56.175	1
58.175	2.5	Training	AB	10	A	A	1.051	stimuli/6.jpeg	stimuli/1.jpeg	B	A	correct	60.675	1
63.275	2.5	Training	EF	11	E	E	1.047	stimuli/5.jpeg	stimuli/2.jpeg	E	F	correct	65.775	1
69.975	2.5	Training	CD	12	C	D	1.3119999999999998	stimuli/3.jpeg	stimuli/4.jpeg	D	C	wrong	72.475	1
76.475	2.5	Training	CD	13	D	D	1.3659999999999999	stimuli/3.jpeg	stimuli/4.jpeg	D	C	correct	78.975	1
82.376	2.5	Training	AB	14	A	A	2.062	stimuli/6.jpeg	stimuli/1.jpeg	B	A	correct	84.876	1
88.876	2.5	Training	CD	15	C	D	1.646	stimuli/4.jpeg	stimuli/3.jpeg	C	D	wrong	91.376	1
93.976	2.5	Training	AB	16	A	A	0.6579999999999999	stimuli/1.jpeg	stimuli/6.jpeg	A	B	correct	96.476	1
99.476	2.5	Training	AB	17	A	A	1.073	stimuli/6.jpeg	stimuli/1.jpeg	B	A	correct	101.976	1
103.976	2.5	Training	EF	18	F	E	0.773	stimuli/5.jpeg	stimuli/2.jpeg	E	F	wrong	106.476	1
110.676	2.5	Training	EF	19	E	E	1.013	stimuli/5.jpeg	stimuli/2.jpeg	E	F	correct	113.176	1
115.176	2.5	Training	AB	20	A	A	0.966	stimuli/1.jpeg	stimuli/6.jpeg	A	B	correct	117.676	1
121.07600000000001	2.5	Training	CD	21	D	D	0.8440000000000001	stimuli/4.jpeg	stimuli/3.jpeg	C	D	correct	123.57600000000001	1
127.57600000000001	2.5	Training	AB	22	A	A	0.865	stimuli/6.jpeg	stimuli/1.jpeg	B	A	correct	130.076	1
133.076	2.5	Training	CD	23	C	D	0.9490000000000001	stimuli/3.jpeg	stimuli/4.jpeg	D	C	wrong	135.576	1
