onset	duration	trial_type	response_time	tap_count	tap_duration	stimulus
6.02	4.12	visual/auditory	n/a	0	n/a	audio/Cumbish.wav
14.56	2.49	visual	n/a	0	n/a	n/a
20.05	1.31	motor	0.7	6	0.88	n/a
28.37	3.91	motor/auditory	0.81	20	3.35	audio/Coy_Koi.wav
35.69	3.91	motor	0.48	19	3.7	n/a
44.1	0.91	motor/auditory	0.7	2	0.18	audio/Ambush_in_Rattlesnake_Gulch.wav
51.02	4.18	visual/auditory	n/a	0	n/a	audio/Le_Baguette.wav
60.22	1.85	visual	n/a	0	n/a	n/a
66.39	0.81	visual/auditory	n/a	0	n/a	audio/Ambush_in_Rattlesnake_Gulch.wav
71.22	3.26	visual	n/a	0	n/a	n/a
77.8	2.11	motor/auditory	0.52	9	1.73	audio/Ukulele_Song.wav
83.44	3.21	motor	0.65	12	2.65	n/a
91.95	3.48	visual	n/a	0	n/a	n/a
101.45	3.21	motor	0.76	16	2.85	n/a
110.17	3.26	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
120.65	3.21	motor/auditory	0.75	18	2.75	audio/Desert_Conflict.wav
128.69	2.91	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
137.02	2.91	visual	n/a	0	n/a	n/a
145.94	2.81	motor/auditory	0.46	15	2.47	audio/Breaking_Bollywood.wav
154.57	0.71	motor	0.66	4	0.42	n/a
160.99	4.15	visual/auditory	n/a	0	n/a	audio/Jack_The_Lumberer.wav
167.56	3.74	visual	n/a	0	n/a	n/a
177.21	3.11	motor/auditory	0.51	15	2.8	audio/Bollywood_Groove.wav
184.32	3.51	motor	0.51	16	3.4	n/a
190.34	1.03	visual/auditory	n/a	0	n/a	audio/Jack_The_Lumberer.wav
195.69	1.91	motor/auditory	0.7	10	1.67	audio/Improv_for_Evil.wav
202.41	2.01	motor	0.5	10	1.65	n/a
208.74	1.83	visual	n/a	0	n/a	n/a
215.99	3.61	motor/auditory	0.68	16	3.15	audio/Bollywood_Groove.wav
222.92	0.61	motor	0.8	1	0.0	n/a
227.56	1.43	visual	n/a	0	n/a	n/a
233.69	2.93	visual/auditory	n/a	0	n/a	audio/Bleu.wav
240.54	0.81	motor/auditory	0.71	4	0.45	audio/Bleu.wav
248.77	1.65	visual/auditory	n/a	0	n/a	audio/Ukulele_Song.wav
256.12	2.26	visual	n/a	0	n/a	n/a
262.51	2.81	motor	0.78	11	2.37	n/a
270.42	1.45	visual	n/a	0	n/a	n/a
278.47	1.21	motor	0.65	6	0.88	n/a
283.39	1.05	visual/auditory	n/a	0	n/a	audio/Le_Baguette.wav
290.94	3.21	motor/auditory	0.75	16	2.65	audio/Breaking_Bollywood.wav
298.16	1.11	motor	0.85	6	0.7	n/a
303.69	1.83	visual	n/a	0	n/a	n/a
308.94	3.61	motor/auditory	0.65	13	2.5	audio/Cumbish.wav
318.17	2.7	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
325.39	2.61	motor	0.73	12	2.03	n/a
333.81	0.61	motor/auditory	0.73	2	0.05	audio/Improv_for_Evil.wav
339.52	1.05	visual	n/a	0	n/a	n/a
347.08	2.28	visual/auditory	n/a	0	n/a	audio/Stereotype_News.wav
352.56	2.31	motor	0.71	10	1.78	n/a
361.48	3.61	motor/auditory	0.55	17	2.97	audio/Breaking_Bollywood.wav
369.19	3.7	visual	n/a	0	n/a	n/a
376.89	0.85	visual/auditory	n/a	0	n/a	audio/Stereotype_News.wav
382.74	3.95	visual	n/a	0	n/a	n/a
390.69	2.71	motor	0.8	12	2.12	n/a
398.83	3.91	visual/auditory	n/a	0	n/a	audio/Funshine.wav
407.56	0.91	motor/auditory	0.65	4	0.42	audio/Le_Baguette.wav
413.88	0.71	motor	0.6	3	0.35	n/a
420.91	2.1	visual	n/a	0	n/a	n/a
427.41	3.31	visual/auditory	n/a	0	n/a	audio/Bleu.wav
435.23	2.41	motor/auditory	0.65	11	1.83	audio/Ambush_in_Rattlesnake_Gulch.wav
