onset	duration	trial_type	response_time	tap_count	tap_duration	stimulus
6.02	14.12	visual	n/a	0	n/a	n/a
34.14	14.05	visual/auditory	n/a	0	n/a	audio/Desert_Conflict.wav
62.2	14.01	motor	3.03	21	11.23	n/a
90.22	14.01	motor/auditory	1.65	57	12.68	audio/Shenzhen_Nightlife.wav
118.24	14.02	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
146.26	14.01	motor	1.15	53	13.08	n/a
174.27	14.01	motor/auditory	0.75	56	13.7	audio/Ambush_in_Rattlesnake_Gulch.wav
202.29	14.15	visual	n/a	0	n/a	n/a
230.44	14.01	motor	1.95	28	11.45	n/a
258.46	14.13	visual/auditory	n/a	0	n/a	audio/Le_Baguette.wav
286.59	14.1	visual	n/a	0	n/a	n/a
314.69	14.01	motor/auditory	1.65	50	12.7	audio/Shenzhen_Nightlife.wav
342.71	14.1	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
370.81	14.07	visual	n/a	0	n/a	n/a
398.87	14.01	motor/auditory	1.48	31	12.68	audio/Coy_Koi.wav
426.89	14.01	motor	0.78	23	13.03	n/a
