onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right	feedback	feedback_onset	feedback_duration
8.077	2.5	Training	AB	1	B	A	1.105	stimuli/1.jpeg	stimuli/2.jpeg	A	B	wrong	10.577	1
13.177	2.5	Training	CD	2	C	D	0.946	stimuli/3.jpeg	stimuli/5.jpeg	D	C	wrong	15.677	1
17.677	2.5	Training	EF	3	E	E	1.189	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	20.177	1
24.177	2.5	Training	CD	4	D	C	0.825	stimuli/3.jpeg	stimuli/5.jpeg	D	C	wrong	26.677	1
30.076999999999998	2.5	Training	AB	5	A	B	0.975	stimuli/1.jpeg	stimuli/2.jpeg	A	B	wrong	32.577	1
36.777	2.5	Training	AB	6	A	A	1.125	stimuli/1.jpeg	stimuli/2.jpeg	A	B	correct	39.277	1
42.277	2.5	Training	AB	7	A	A	0.583	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	44.777	1
46.777	2.5	Training	EF	8	E	F	1.05	stimuli/4.jpeg	stimuli/6.jpeg	E	F	wrong	49.277	1
52.277	2.5	Training	AB	9	A	A	0.7190000000000001	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	54.777	1
58.977	2.5	Training	EF	10	E	E	0.721	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	61.477	1
64.077	2.5	Training	CD	11	D	D	1.776	stimuli/3.jpeg	stimuli/5.jpeg	D	C	correct	66.577	1
70.577	2.5	Training	EF	12	E	E	1.01	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	73.078	1
76.47800000000001	2.5	Training	AB	13	A	A	0.475	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	78.97800000000001	1
83.178	2.5	Training	AB	14	A	A	0.5539999999999999	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	85.678	1
88.678	2.5	Training	AB	15	A	A	0.687	stimuli/1.jpeg	stimuli/2.jpeg	A	B	correct	91.178	1
95.178	2.5	Training	CD	16	C	D	1.075	stimuli/5.jpeg	stimuli/3.jpeg	C	D	wrong	97.678	1
99.678	2.5	Training	EF	17	F	E	0.8690000000000001	stimuli/6.jpeg	stimuli/4.jpeg	F	E	wrong	102.178	1
105.57799999999999	2.5	Training	CD	18	D	D	0.8059999999999999	stimuli/5.jpeg	stimuli/3.jpeg	C	D	correct	108.07799999999999	1
110.678	2.5	Training	EF	19	E	E	0.8190000000000001	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	113.178	1
116.57799999999999	2.5	Training	CD	20	C	D	0.721	stimuli/5.jpeg	stimuli/3.jpeg	C	D	wrong	119.07799999999999	1
123.07799999999999	2.5	Training	CD	21	C	D	0.59	stimuli/5.jpeg	stimuli/3.jpeg	C	D	wrong	125.57799999999999	1
127.57799999999999	2.5	Training	AB	22	A	A	0.545	stimuli/1.jpeg	stimuli/2.jpeg	A	B	correct	130.078	1
134.278	2.5	Training	AB	23	A	A	0.733	stimuli/1.jpeg	stimuli/2.jpeg	A	B	correct	136.778	1
139.778	2.5	Training	AB	24	B	A	0.486	stimuli/2.jpeg	stimuli/1.jpeg	B	A	wrong	142.278	1
144.878	2.5	Training	AB	25	B	A	0.5329999999999999	stimuli/2.jpeg	stimuli/1.jpeg	B	A	wrong	147.378	1
151.378	2.5	Training	EF	26	E	E	0.7859999999999999	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	153.878	1
155.878	2.5	Training	EF	27	E	E	0.648	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	158.378	1
162.578	2.5	Training	EF	28	F	E	0.637	stimuli/4.jpeg	stimuli/6.jpeg	E	F	wrong	165.078	1
168.078	2.5	Training	CD	29	C	D	0.606	stimuli/3.jpeg	stimuli/5.jpeg	D	C	wrong	170.578	1
173.178	2.5	Training	EF	30	E	E	0.759	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	175.678	1
179.078	2.5	Training	AB	31	B	A	0.8440000000000001	stimuli/1.jpeg	stimuli/2.jpeg	A	B	wrong	181.578	1
184.578	2.5	Training	EF	32	F	E	0.98	stimuli/6.jpeg	stimuli/4.jpeg	F	E	wrong	187.078	1
191.278	2.5	Training	EF	33	F	E	0.8140000000000001	stimuli/6.jpeg	stimuli/4.jpeg	F	E	wrong	193.778	1
197.778	2.5	Training	AB	34	A	A	0.715	stimuli/1.jpeg	stimuli/2.jpeg	A	B	correct	200.278	1
202.27900000000002	2.5	Training	AB	35	A	A	0.616	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	204.778	1
207.378	2.5	Training	EF	36	E	E	1.281	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	209.878	1
213.27900000000002	2.5	Training	AB	37	A	A	0.528	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	215.778	1
219.77900000000002	2.5	Training	CD	38	C	D	0.693	stimuli/5.jpeg	stimuli/3.jpeg	C	D	wrong	222.27900000000002	1
224.87900000000002	2.5	Training	CD	39	C	D	0.637	stimuli/3.jpeg	stimuli/5.jpeg	D	C	wrong	227.37900000000002	1
230.77900000000002	2.5	Training	AB	40	A	A	0.688	stimuli/2.jpeg	stimuli/1.jpeg	B	A	correct	233.27900000000002	1
