onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right
8.084	2.5	Testing	CF	61	2	C	1.205	stimuli/3.jpeg	stimuli/1.jpeg	F	C
13.584000000000001	2.5	Testing	AF	62	2	A	2.231	stimuli/3.jpeg	stimuli/6.jpeg	F	A
19.284000000000002	2.5	Testing	BE	63	2	E	0.752	stimuli/4.jpeg	stimuli/5.jpeg	B	E
23.384	2.5	Testing	DE	64	2	E	1.3319999999999999	stimuli/2.jpeg	stimuli/5.jpeg	D	E
28.284000000000002	2.5	Testing	BF	65	2	F	0.9540000000000001	stimuli/4.jpeg	stimuli/3.jpeg	B	F
32.784	2.5	Testing	DE	66	1	E	1.3159999999999998	stimuli/5.jpeg	stimuli/2.jpeg	E	D
36.284	2.5	Testing	CE	67	2	C	0.635	stimuli/5.jpeg	stimuli/1.jpeg	E	C
41.983999999999995	2.5	Testing	AE	68	1	A	0.9179999999999999	stimuli/6.jpeg	stimuli/5.jpeg	A	E
46.483999999999995	2.5	Testing	AE	69	1	A	0.593	stimuli/6.jpeg	stimuli/5.jpeg	A	E
51.38399999999999	2.5	Testing	CE	70	1	C	0.617	stimuli/1.jpeg	stimuli/5.jpeg	C	E
55.483999999999995	2.5	Testing	AC	71	2	C	1.671	stimuli/6.jpeg	stimuli/1.jpeg	A	C
60.983999999999995	2.5	Testing	CF	72	2	C	1.082	stimuli/3.jpeg	stimuli/1.jpeg	F	C
64.485	2.5	Testing	BE	73	1	E	1.3659999999999999	stimuli/5.jpeg	stimuli/4.jpeg	E	B
68.985	2.5	Testing	BC	74	2	C	0.556	stimuli/4.jpeg	stimuli/1.jpeg	B	C
73.085	2.5	Testing	CE	75	2	C	0.494	stimuli/5.jpeg	stimuli/1.jpeg	E	C
77.985	2.5	Testing	AE	76	1	A	0.8959999999999999	stimuli/6.jpeg	stimuli/5.jpeg	A	E
83.685	2.5	Testing	BD	77	2	D	0.5489999999999999	stimuli/4.jpeg	stimuli/2.jpeg	B	D
87.185	2.5	Testing	AE	78	2	A	0.86	stimuli/5.jpeg	stimuli/6.jpeg	E	A
92.685	2.5	Testing	AD	79	2	A	1.042	stimuli/2.jpeg	stimuli/6.jpeg	D	A
97.185	2.5	Testing	AD	80	1	A	0.754	stimuli/6.jpeg	stimuli/2.jpeg	A	D
100.685	2.5	Testing	BF	81	2	F	0.568	stimuli/4.jpeg	stimuli/3.jpeg	B	F
106.385	2.5	Testing	AC	82	1	C	0.684	stimuli/1.jpeg	stimuli/6.jpeg	C	A
111.285	2.5	Testing	BC	83	1	C	0.545	stimuli/1.jpeg	stimuli/4.jpeg	C	B
116.785	2.5	Testing	AF	84	2	A	1.8769999999999998	stimuli/3.jpeg	stimuli/6.jpeg	F	A
120.885	2.5	Testing	AE	85	2	A	0.5660000000000001	stimuli/5.jpeg	stimuli/6.jpeg	E	A
126.385	2.5	Testing	AC	86	2	C	0.861	stimuli/6.jpeg	stimuli/1.jpeg	A	C
130.485	2.5	Testing	AF	87	2	F	0.7559999999999999	stimuli/6.jpeg	stimuli/3.jpeg	A	F
133.985	2.5	Testing	BF	88	1	F	0.612	stimuli/3.jpeg	stimuli/4.jpeg	F	B
138.485	2.5	Testing	BF	89	2	F	0.504	stimuli/4.jpeg	stimuli/3.jpeg	B	F
144.185	2.5	Testing	BF	90	2	F	0.519	stimuli/4.jpeg	stimuli/3.jpeg	B	F
149.085	2.5	Testing	AF	91	1	A	1.5	stimuli/6.jpeg	stimuli/3.jpeg	A	F
154.785	2.5	Testing	AC	92	1	C	1.368	stimuli/1.jpeg	stimuli/6.jpeg	C	A
159.286	2.5	Testing	DE	93	1	D	1.304	stimuli/2.jpeg	stimuli/5.jpeg	D	E
164.78599999999997	2.5	Testing	AF	94	2	A	1.375	stimuli/3.jpeg	stimuli/6.jpeg	F	A
169.68599999999998	2.5	Testing	BE	95	1	E	1.025	stimuli/5.jpeg	stimuli/4.jpeg	E	B
