onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right	feedback	feedback_onset	feedback_duration
163.034	2.5	Training	CD	28	D	C	0.542	stimuli/5.jpeg	stimuli/2.jpeg	C	D	wrong	165.53400000000002	1
167.53400000000002	2.5	Training	EF	29	E	E	1.268	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	170.03400000000002	1
172.63400000000001	2.5	Training	EF	30	F	E	0.763	stimuli/6.jpeg	stimuli/4.jpeg	F	E	wrong	175.13400000000001	1
179.13400000000001	2.5	Training	AB	31	A	A	0.831	stimuli/3.jpeg	stimuli/1.jpeg	B	A	correct	181.63400000000001	1
185.03400000000002	2.5	Training	CD	32	C	C	0.561	stimuli/2.jpeg	stimuli/5.jpeg	D	C	correct	187.53400000000002	1
190.135	2.5	Training	AB	33	A	A	1.042	stimuli/1.jpeg	stimuli/3.jpeg	A	B	correct	192.635	1
196.635	2.5	Training	CD	34	C	C	0.733	stimuli/5.jpeg	stimuli/2.jpeg	C	D	correct	199.135	1
203.335	2.5	Training	EF	35	E	E	0.963	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	205.835	1
208.835	2.5	Training	CD	36	D	C	0.586	stimuli/5.jpeg	stimuli/2.jpeg	C	D	wrong	211.335	1
213.335	2.5	Training	EF	37	E	E	0.589	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	215.835	1
220.035	2.5	Training	CD	38	C	C	0.466	stimuli/5.jpeg	stimuli/2.jpeg	C	D	correct	222.535	1
224.535	2.5	Training	CD	39	C	C	0.547	stimuli/5.jpeg	stimuli/2.jpeg	C	D	correct	227.035	1
231.035	2.5	Training	AB	40	A	A	0.6679999999999999	stimuli/3.jpeg	stimuli/1.jpeg	B	A	correct	233.535	1
236.935	2.5	Training	EF	41	E	E	0.696	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	239.435	1
242.035	2.5	Training	AB	42	A	A	0.773	stimuli/3.jpeg	stimuli/1.jpeg	B	A	correct	244.535	1
247.535	2.5	Training	EF	43	F	E	0.937	stimuli/4.jpeg	stimuli/6.jpeg	E	F	wrong	250.035	1
254.035	2.5	Training	AB	44	B	A	1.386	stimuli/1.jpeg	stimuli/3.jpeg	A	B	wrong	256.535	1
260.735	2.5	Training	AB	45	A	A	0.606	stimuli/1.jpeg	stimuli/3.jpeg	A	B	correct	263.235	1
265.835	2.5	Training	AB	46	A	A	0.7559999999999999	stimuli/3.jpeg	stimuli/1.jpeg	B	A	correct	268.335	1
271.335	2.5	Training	CD	47	D	C	0.5539999999999999	stimuli/2.jpeg	stimuli/5.jpeg	D	C	wrong	273.835	1
275.835	2.5	Training	CD	48	C	C	0.6509999999999999	stimuli/5.jpeg	stimuli/2.jpeg	C	D	correct	278.335	1
281.735	2.5	Training	EF	49	F	E	0.634	stimuli/6.jpeg	stimuli/4.jpeg	F	E	wrong	284.235	1
287.235	2.5	Training	EF	50	E	E	0.5589999999999999	stimuli/4.jpeg	stimuli/6.jpeg	E	F	correct	289.735	1
293.935	2.5	Training	AB	51	A	A	1.046	stimuli/1.jpeg	stimuli/3.jpeg	A	B	correct	296.435	1
298.435	2.5	Training	AB	52	B	A	1.2670000000000001	stimuli/3.jpeg	stimuli/1.jpeg	B	A	wrong	300.936	1
304.336	2.5	Training	CD	53	C	C	0.603	stimuli/5.jpeg	stimuli/2.jpeg	C	D	correct	306.836	1
309.436	2.5	Training	EF	54	E	E	1.345	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	311.936	1
315.936	2.5	Training	AB	55	A	A	1.09	stimuli/1.jpeg	stimuli/3.jpeg	A	B	correct	318.436	1
322.63599999999997	2.5	Training	EF	56	E	E	0.5670000000000001	stimuli/6.jpeg	stimuli/4.jpeg	F	E	correct	325.13599999999997	1
327.736	2.5	Training	AB	57	A	A	0.7	stimuli/1.jpeg	stimuli/3.jpeg	A	B	correct	330.236	1
334.236	2.5	Training	EF	58	F	E	0.816	stimuli/4.jpeg	stimuli/6.jpeg	E	F	wrong	336.736	1
339.736	2.5	Training	AB	59	A	A	0.545	stimuli/3.jpeg	stimuli/1.jpeg	B	A	correct	342.236	1
344.236	2.5	Training	AB	60	A	A	0.86	stimuli/3.jpeg	stimuli/1.jpeg	B	A	correct	346.736	1
