onset	duration	trial_type	response_time	tap_count	tap_duration	stimulus
6.02	2.72	visual/auditory	n/a	0	n/a	audio/Improv_for_Evil.wav
12.14	2.61	motor/auditory	0.45	16	2.63	audio/Improv_for_Evil.wav
20.05	0.51	motor	0.81	1	0.0	n/a
24.37	2.93	visual	n/a	0	n/a	n/a
30.12	1.68	visual/auditory	n/a	0	n/a	audio/Ambush_in_Rattlesnake_Gulch.wav
38.12	4.01	motor	0.45	25	3.88	n/a
44.64	2.26	visual	n/a	0	n/a	n/a
52.22	0.51	motor/auditory	0.46	3	0.33	audio/Coy_Koi.wav
56.34	1.66	visual/auditory	n/a	0	n/a	audio/Ambush_in_Rattlesnake_Gulch.wav
63.42	3.11	motor	0.5	19	2.8	n/a
70.45	2.46	visual	n/a	0	n/a	n/a
77.92	3.71	motor/auditory	0.35	24	3.58	audio/Ukulele_Song.wav
85.75	3.61	motor	0.72	24	3.07	n/a
94.27	2.48	visual/auditory	n/a	0	n/a	audio/Breaking_Bollywood.wav
100.25	3.15	visual	n/a	0	n/a	n/a
109.4	3.71	motor/auditory	0.52	22	3.33	audio/Coy_Koi.wav
118.32	3.75	visual/auditory	n/a	0	n/a	audio/Bollywood_Groove.wav
127.07	3.11	motor	0.6	17	2.88	n/a
134.8	2.71	visual	n/a	0	n/a	n/a
140.34	1.01	motor/auditory	0.58	6	0.68	audio/Shenzhen_Nightlife.wav
147.56	3.91	visual/auditory	n/a	0	n/a	audio/Jack_The_Lumberer.wav
155.39	2.48	visual	n/a	0	n/a	n/a
164.09	3.81	motor	0.65	28	3.47	n/a
173.32	2.91	motor/auditory	0.46	19	2.82	audio/Bollywood_Groove.wav
179.14	3.9	visual/auditory	n/a	0	n/a	audio/Shenzhen_Nightlife.wav
188.46	1.86	visual	n/a	0	n/a	n/a
194.62	3.71	motor	0.48	24	3.5	n/a
203.24	3.61	motor/auditory	0.66	24	3.28	audio/Bollywood_Groove.wav
209.36	1.01	motor	0.61	5	0.57	n/a
217.27	2.71	motor/auditory	0.7	17	2.4	audio/Funshine.wav
223.49	0.61	visual/auditory	n/a	0	n/a	audio/Bleu.wav
228.32	2.28	visual	n/a	0	n/a	n/a
235.82	3.05	visual/auditory	n/a	0	n/a	audio/Breaking_Bollywood.wav
242.69	2.71	visual	n/a	0	n/a	n/a
250.32	0.61	motor	0.52	3	0.32	n/a
255.84	1.31	motor/auditory	0.5	8	1.08	audio/Improv_for_Evil.wav
262.67	1.25	visual	n/a	0	n/a	n/a
268.34	4.13	visual/auditory	n/a	0	n/a	audio/Stereotype_News.wav
277.47	2.81	motor	0.41	21	2.85	n/a
284.41	3.21	motor/auditory	0.53	27	3.18	audio/Shenzhen_Nightlife.wav
292.82	3.51	visual	n/a	0	n/a	n/a
300.16	2.51	motor/auditory	0.56	19	2.33	audio/Le_Baguette.wav
306.87	1.65	visual/auditory	n/a	0	n/a	audio/Coy_Koi.wav
314.52	2.51	motor	0.78	17	1.92	n/a
322.74	1.61	motor/auditory	0.6	9	1.17	audio/Ukulele_Song.wav
330.36	3.11	visual	n/a	0	n/a	n/a
336.29	3.91	motor	0.53	31	3.53	n/a
346.62	3.06	visual/auditory	n/a	0	n/a	audio/Funshine.wav
352.89	3.11	visual	n/a	0	n/a	n/a
360.63	0.81	visual/auditory	n/a	0	n/a	audio/Funshine.wav
366.06	2.31	motor	0.53	18	2.12	n/a
374.38	2.51	motor/auditory	0.73	17	2.15	audio/Jack_The_Lumberer.wav
382.71	3.21	motor	0.66	24	3.03	n/a
392.83	3.31	visual/auditory	n/a	0	n/a	audio/Desert_Conflict.wav
400.86	3.91	motor/auditory	0.46	30	3.87	audio/Breaking_Bollywood.wav
407.58	4.08	visual	n/a	0	n/a	n/a
415.48	3.31	motor	0.61	21	2.83	n/a
424.69	4.08	visual	n/a	0	n/a	n/a
432.38	0.85	visual/auditory	n/a	0	n/a	audio/Bleu.wav
438.63	2.31	motor/auditory	0.65	16	2.22	audio/Stereotype_News.wav
