onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.05	2.01	baseline	correct	17	1.62	11.48	numeric	word	0.49	17.87	noninformative	14	n/a	1	1.35	3	n/a	14.0	numerals\17_n.png	feedback\noninformative.png	numerals\14_w.png	n/a	n/a
23.41	1.39	baseline	incorrect	5	3.0	28.22	word	word	0.5	38.0	noninformative	6	n/a	1	1.37	-1	n/a	6.0	numerals\05_w.png	feedback\noninformative.png	numerals\06_w.png	n/a	n/a
42.66	2.92	math	correct	32	2.12	48.68	numeric	word	0.5	56.68	noninformative	11	multiply	1	1.38	10	2.0	22.0	numerals\32_n.png	feedback\noninformative.png	numerals\11_w.png	numerals\multiply_w.png	numerals\02_w.png
60.84	1.51	baseline	correct	15	2.72	65.77	word	numeric	0.51	72.32	informative	9	n/a	1	1.18	6	n/a	9.0	numerals\15_w.png	feedback\positive.png	numerals\09_n.png	n/a	n/a
75.29	1.71	math	correct	-26	2.12	82.42	numeric	numeric	0.49	91.03	noninformative	10	subtract	3	1.37	-10	26.0	-16.0	numerals\-26_n.png	feedback\noninformative.png	numerals\10_n.png	numerals\subtract_n.png	numerals\26_n.png
96.46	2.1	math	correct	19	1.4	104.07	numeric	numeric	0.51	110.36	noninformative	9	divide	1	0.3	10	1.0	9.0	numerals\19_n.png	feedback\noninformative.png	numerals\09_n.png	numerals\divide_n.png	numerals\01_n.png
116.27	2.91	math	correct	32	1.62	122.3	word	word	0.51	129.01	noninformative	16	multiply	2	1.18	0	2.0	32.0	numerals\32_w.png	feedback\noninformative.png	numerals\16_w.png	numerals\multiply_w.png	numerals\02_w.png
133.88	2.72	math	correct	2	1.62	142.0	word	numeric	0.51	149.46	informative	18	divide	1	1.52	0	12.0	1.5	numerals\02_w.png	feedback\positive.png	numerals\18_n.png	numerals\divide_n.png	numerals\12_n.png
155.32	1.8	baseline	correct	16	1.12	161.73	numeric	word	0.51	167.81	noninformative	15	n/a	1	0.13	1	n/a	15.0	numerals\16_n.png	feedback\noninformative.png	numerals\15_w.png	n/a	n/a
174.51	2.52	math	correct	79	1.4	181.85	numeric	word	0.5	187.32	noninformative	26	multiply	1	1.3	1	3.0	78.0	numerals\79_n.png	feedback\noninformative.png	numerals\26_w.png	numerals\multiply_w.png	numerals\03_w.png
192.18	2.91	math	incorrect	11	1.5	198.8	numeric	numeric	0.51	203.73	informative	6	add	2	0.48	-9	14.0	20.0	numerals\11_n.png	feedback\negative.png	numerals\06_n.png	numerals\add_n.png	numerals\14_n.png
207.41	1.9	baseline	correct	22	2.5	213.03	word	word	0.51	218.96	informative	25	n/a	3	1.6	-3	n/a	25.0	numerals\22_w.png	feedback\positive.png	numerals\25_w.png	n/a	n/a
222.55	2.9	math	correct	2	2.1	229.67	word	word	0.49	235.98	informative	16	subtract	3	1.3	-1	13.0	3.0	numerals\02_w.png	feedback\positive.png	numerals\16_w.png	numerals\subtract_w.png	numerals\13_w.png
239.56	2.89	math	correct	23	1.6	246.57	word	numeric	0.49	252.78	informative	22	subtract	1	1.57	3	2.0	20.0	numerals\23_w.png	feedback\positive.png	numerals\22_n.png	numerals\subtract_n.png	numerals\02_n.png
259.22	2.4	baseline	correct	6	1.5	266.42	word	word	0.5	272.89	noninformative	16	n/a	3	1.27	-10	n/a	16.0	numerals\06_w.png	feedback\noninformative.png	numerals\16_w.png	n/a	n/a
277.26	2.81	math	correct	-4	1.2	283.87	numeric	word	0.51	290.31	informative	13	divide	3	0.38	-7	5.0	2.6	numerals\-4_n.png	feedback\positive.png	numerals\13_w.png	numerals\divide_w.png	numerals\05_w.png
293.86	2.31	math	incorrect	70	1.6	301.19	numeric	numeric	0.5	309.12	noninformative	18	multiply	1	1.23	-2	4.0	72.0	numerals\70_n.png	feedback\noninformative.png	numerals\18_n.png	numerals\multiply_n.png	numerals\04_n.png
317.43	1.11	math	correct	25	1.9	322.55	word	word	0.53	329.29	informative	24	add	3	1.72	-3	4.0	28.0	numerals\25_w.png	feedback\positive.png	numerals\24_w.png	numerals\add_w.png	numerals\04_w.png
334.44	2.72	math	correct	-3	2.5	340.57	numeric	word	0.52	348.5	informative	25	divide	3	1.6	-4	25.0	1.0	numerals\-3_n.png	feedback\positive.png	numerals\25_w.png	numerals\divide_w.png	numerals\25_w.png
353.89	1.52	math	correct	11	2.9	360.6	word	numeric	0.5	368.87	noninformative	8	subtract	1	1.2	4	1.0	7.0	numerals\11_w.png	feedback\noninformative.png	numerals\08_n.png	numerals\subtract_n.png	numerals\01_n.png
373.03	2.11	math	incorrect	24	2.32	378.65	numeric	numeric	0.51	385.41	informative	20	add	1	1.3	0	4.0	24.0	numerals\24_n.png	feedback\negative.png	numerals\20_n.png	numerals\add_n.png	numerals\04_n.png
391.3	2.8	math	incorrect	37	1.1	399.82	word	numeric	0.5	406.13	informative	25	add	1	0.1	-5	17.0	42.0	numerals\37_w.png	feedback\negative.png	numerals\25_n.png	numerals\add_n.png	numerals\17_n.png
412.08	1.81	baseline	correct	28	1.4	419.29	numeric	numeric	0.5	428.56	noninformative	20	n/a	1	0.87	8	n/a	20.0	numerals\28_n.png	feedback\noninformative.png	numerals\20_n.png	n/a	n/a
432.8	1.69	baseline	correct	31	1.5	438.4	word	numeric	0.49	443.73	informative	30	n/a	1	1.18	1	n/a	30.0	numerals\31_w.png	feedback\positive.png	numerals\30_n.png	n/a	n/a
