onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
6.13	2.3	math	correct	40	1.32	13.83	word	word	0.51	18.96	informative	26	add	3	0.95	-9	23.0	49.0	numerals\40_w.png	feedback\positive.png	numerals\26_w.png	numerals\add_w.png	numerals\23_w.png
22.24	2.79	math	correct	0	2.92	28.13	numeric	numeric	0.49	34.66	informative	9	divide	3	0.42	-1	8.0	1.1	numerals\00_n.png	feedback\positive.png	numerals\09_n.png	numerals\divide_n.png	numerals\08_n.png
41.01	2.01	baseline	correct	33	1.32	47.23	numeric	numeric	0.49	55.26	informative	27	n/a	1	0.7	6	n/a	27.0	numerals\33_n.png	feedback\positive.png	numerals\27_n.png	n/a	n/a
59.59	1.71	math	correct	14	2.32	66.7	numeric	numeric	0.51	73.64	informative	2	multiply	3	0.48	-2	8.0	16.0	numerals\14_n.png	feedback\positive.png	numerals\02_n.png	numerals\multiply_n.png	numerals\08_n.png
78.0	2.8	math	correct	158	1.82	84.6	numeric	numeric	0.5	91.98	noninformative	20	multiply	3	0.58	-2	8.0	160.0	numerals\158_n.png	feedback\noninformative.png	numerals\20_n.png	numerals\multiply_n.png	numerals\08_n.png
95.98	1.41	baseline	correct	27	2.72	100.8	word	numeric	0.5	110.27	noninformative	24	n/a	1	0.47	3	n/a	24.0	numerals\27_w.png	feedback\noninformative.png	numerals\24_n.png	n/a	n/a
114.84	1.32	math	incorrect	41	2.8	119.95	word	word	0.51	127.9	informative	19	add	1	1.42	-5	27.0	46.0	numerals\41_w.png	feedback\negative.png	numerals\19_w.png	numerals\add_w.png	numerals\27_w.png
133.27	1.41	math	correct	-16	1.9	137.89	numeric	numeric	0.51	143.59	noninformative	8	subtract	3	1.07	-5	19.0	-11.0	numerals\-16_n.png	feedback\noninformative.png	numerals\08_n.png	numerals\subtract_n.png	numerals\19_n.png
148.17	2.59	baseline	correct	34	2.4	156.27	numeric	word	0.51	161.41	informative	27	n/a	1	0.35	7	n/a	27.0	numerals\34_n.png	feedback\positive.png	numerals\27_w.png	n/a	n/a
164.18	1.1	baseline	correct	19	2.92	168.2	word	word	0.51	176.83	informative	20	n/a	3	0.6	-1	n/a	20.0	numerals\19_w.png	feedback\positive.png	numerals\20_w.png	n/a	n/a
