onset	duration	trial_type	accuracy	comparison	comparison_duration	comparison_onset	comparison_representation	equation_representation	feedback_duration	feedback_onset	feedback_type	first_term	operation	response	response_time	rounded_difference	second_term	solution	stim_file_comparison	stim_file_feedback	stim_file_first_term	stim_file_operator	stim_file_second_term
182.94	1.4	math	correct	2	3.0	189.45	word	word	0.49	198.48	noninformative	20	divide	1	0.55	1	19.0	1.1	numerals\02_w.png	feedback\noninformative.png	numerals\20_w.png	numerals\divide_w.png	numerals\19_w.png
202.49	2.5	math	correct	7	2.9	210.4	word	word	0.51	217.64	informative	23	subtract	1	0.35	3	19.0	4.0	numerals\07_w.png	feedback\positive.png	numerals\23_w.png	numerals\subtract_w.png	numerals\19_w.png
221.55	2.41	math	correct	5	1.9	229.35	word	numeric	0.5	238.39	noninformative	12	subtract	1	0.53	4	11.0	1.0	numerals\05_w.png	feedback\noninformative.png	numerals\12_n.png	numerals\subtract_n.png	numerals\11_n.png
241.85	2.01	baseline	correct	23	1.42	247.05	numeric	word	0.51	252.59	informative	25	n/a	3	1.03	-2	n/a	25.0	numerals\23_n.png	feedback\positive.png	numerals\25_w.png	n/a	n/a
256.56	2.71	math	correct	1	1.12	264.77	word	numeric	0.52	271.53	noninformative	29	divide	3	1.07	-1	19.0	1.5	numerals\01_w.png	feedback\noninformative.png	numerals\29_n.png	numerals\divide_n.png	numerals\19_n.png
275.62	2.22	math	incorrect	37	3.02	280.34	numeric	word	0.51	288.8	noninformative	21	add	2	0.78	-10	26.0	47.0	numerals\37_n.png	feedback\noninformative.png	numerals\21_w.png	numerals\add_w.png	numerals\26_w.png
296.88	2.81	baseline	correct	27	2.7	304.5	word	numeric	0.51	311.77	noninformative	29	n/a	3	0.6	-2	n/a	29.0	numerals\27_w.png	feedback\noninformative.png	numerals\29_n.png	n/a	n/a
316.66	2.81	math	correct	3	1.7	323.07	numeric	word	0.49	331.0	informative	6	multiply	3	1.4	-3	1.0	6.0	numerals\03_n.png	feedback\positive.png	numerals\06_w.png	numerals\multiply_w.png	numerals\01_w.png
334.94	1.2	baseline	correct	7	1.02	343.94	word	word	0.51	350.46	noninformative	9	n/a	3	2.5	-2	n/a	9.0	numerals\07_w.png	feedback\noninformative.png	numerals\09_w.png	n/a	n/a
354.74	2.0	baseline	correct	22	1.32	363.64	word	word	0.51	369.98	informative	30	n/a	3	1.22	-8	n/a	30.0	numerals\22_w.png	feedback\positive.png	numerals\30_w.png	n/a	n/a
376.61	2.31	math	correct	14	1.2	382.64	word	word	0.5	387.87	informative	18	divide	1	1.42	10	4.0	4.5	numerals\14_w.png	feedback\positive.png	numerals\18_w.png	numerals\divide_w.png	numerals\04_w.png
391.85	1.31	math	correct	48	2.9	397.36	numeric	numeric	0.5	405.09	noninformative	27	add	1	0.42	1	20.0	47.0	numerals\48_n.png	feedback\noninformative.png	numerals\27_n.png	numerals\add_n.png	numerals\20_n.png
410.36	2.71	math	incorrect	-12	2.02	418.19	numeric	numeric	0.5	425.15	noninformative	6	subtract	2	2.18	1	19.0	-13.0	numerals\-12_n.png	feedback\noninformative.png	numerals\06_n.png	numerals\subtract_n.png	numerals\19_n.png
428.03	1.6	math	correct	92	1.7	433.04	numeric	numeric	0.5	440.11	noninformative	30	multiply	1	0.67	2	3.0	90.0	numerals\92_n.png	feedback\noninformative.png	numerals\30_n.png	numerals\multiply_n.png	numerals\03_n.png
